T,p,x,y
510.93,446228.673,0,0
510.93,689475.7,0.3444,0.049
510.93,1034213.55,0.5539,0.117
510.93,1378951.4,0.6575,0.181
510.93,1723689.25,0.7189,0.2417
510.93,2068427.1,0.7595,0.2987
510.93,2413164.95,0.7877,0.353
510.93,2757902.8,0.8075,0.4051
510.93,3102640.65,0.8209,0.4552
510.93,3447378.5,0.829,0.5035
510.93,3792116.35,0.8317,0.5492
510.93,4136854.2,0.8297,0.595
510.93,4481592.05,0.8199,0.6427
510.93,4826329.9,0.783,0.698
477.59,215047.4708,0,0
477.59,344737.85,0.3693,0.0324
477.59,689475.7,0.676,0.116
477.59,1034213.55,0.7777,0.195
477.59,1378951.4,0.8279,0.269
477.59,1723689.25,0.8577,0.3386
477.59,2068427.1,0.8769,0.404
477.59,2413164.95,0.8899,0.4658
477.59,2757902.8,0.8989,0.5246
477.59,3102640.65,0.9053,0.581
477.59,3447378.5,0.9099,0.6347
477.59,3792116.35,0.9123,0.6873
477.59,4136854.2,0.9123,0.74
477.59,4481592.05,0.9078,0.7928
444.26,93010.27193,0,0
444.26,344737.85,0.7283,0.0803
444.26,689475.7,0.8629,0.1865
444.26,1034213.55,0.9078,0.2865
444.26,1378951.4,0.9303,0.3791
444.26,1723689.25,0.9437,0.468
444.26,2068427.1,0.9527,0.5513
444.26,2413164.95,0.9591,0.6273
444.26,2757902.8,0.9639,0.6973
444.26,3102640.65,0.9677,0.763
444.26,3447378.5,0.9704,0.8223
444.26,3792116.35,0.9713,0.8771
444.26,4136854.2,0.9696,0.9287
377.59,1.59,0,0
377.59,25,0.9372,0.1103
377.59,50,0.9692,0.2272
377.59,75,0.9801,0.3435
377.59,100,0.9857,0.459
377.59,125,0.9893,0.572
377.59,150,0.9921,0.68
377.59,175,0.9945,0.7794
377.59,200,0.9967,0.8706
377.59,225,0.9987,0.9513
377.59,241.2,1,1
