Clapeyron Estimator,
[method=Cp, species=CCCC]
T,P,p,out_Cp
150,10,10000000,115.08
160,10,10000000,115.62
170,10,10000000,116.27
180,10,10000000,117.05
190,10,10000000,117.98
200,10,10000000,119.06
210,10,10000000,120.31
220,10,10000000,121.73
230,10,10000000,123.31
240,10,10000000,125.06
250,10,10000000,126.97
260,10,10000000,129.02
270,10,10000000,131.23
280,10,10000000,133.58
290,10,10000000,136.06
300,10,10000000,138.68
310,10,10000000,141.43
320,10,10000000,144.3
330,10,10000000,147.31
340,10,10000000,150.46
350,10,10000000,153.74
360,10,10000000,157.19
370,10,10000000,160.8
380,10,10000000,164.61
390,10,10000000,168.63
400,10,10000000,172.93
410,10,10000000,177.54
420,10,10000000,182.54
430,10,10000000,188.04
440,10,10000000,194.14
450,10,10000000,200.93
460,10,10000000,208.29
470,10,10000000,215.59
480,10,10000000,221.4
490,10,10000000,224.14
500,10,10000000,223.43
510,10,10000000,220.36
520,10,10000000,216.25
530,10,10000000,212.01
540,10,10000000,208.15
550,10,10000000,204.86
560,10,10000000,202.21
570,10,10000000,200.16
150,30,30000000,114.53
160,30,30000000,114.97
170,30,30000000,115.53
180,30,30000000,116.2
190,30,30000000,117.01
200,30,30000000,117.96
210,30,30000000,119.07
220,30,30000000,120.32
230,30,30000000,121.71
240,30,30000000,123.24
250,30,30000000,124.91
260,30,30000000,126.7
270,30,30000000,128.6
280,30,30000000,130.6
290,30,30000000,132.69
300,30,30000000,134.86
310,30,30000000,137.1
320,30,30000000,139.4
330,30,30000000,141.74
340,30,30000000,144.12
350,30,30000000,146.53
360,30,30000000,148.97
370,30,30000000,151.41
380,30,30000000,153.86
390,30,30000000,156.3
400,30,30000000,158.73
410,30,30000000,161.15
420,30,30000000,163.54
430,30,30000000,165.91
440,30,30000000,168.24
450,30,30000000,170.53
460,30,30000000,172.77
470,30,30000000,174.97
480,30,30000000,177.12
490,30,30000000,179.21
500,30,30000000,181.24
510,30,30000000,183.21
520,30,30000000,185.11
530,30,30000000,186.95
540,30,30000000,188.72
550,30,30000000,190.43
560,30,30000000,192.06
570,30,30000000,193.62
150,50,50000000,114.14
160,50,50000000,114.53
170,50,50000000,115.03
180,50,50000000,115.64
190,50,50000000,116.38
200,50,50000000,117.26
210,50,50000000,118.29
220,50,50000000,119.45
230,50,50000000,120.75
240,50,50000000,122.19
250,50,50000000,123.74
260,50,50000000,125.42
270,50,50000000,127.19
280,50,50000000,129.06
290,50,50000000,131
300,50,50000000,133.02
310,50,50000000,135.1
320,50,50000000,137.22
330,50,50000000,139.39
340,50,50000000,141.58
350,50,50000000,143.79
360,50,50000000,146.02
370,50,50000000,148.25
380,50,50000000,150.48
390,50,50000000,152.71
400,50,50000000,154.92
410,50,50000000,157.12
420,50,50000000,159.3
430,50,50000000,161.45
440,50,50000000,163.58
450,50,50000000,165.68
460,50,50000000,167.75
470,50,50000000,169.78
480,50,50000000,171.78
490,50,50000000,173.75
500,50,50000000,175.67
510,50,50000000,177.57
520,50,50000000,179.42
530,50,50000000,181.24
540,50,50000000,183.03
550,50,50000000,184.78
560,50,50000000,186.49
570,50,50000000,188.17
