Clapeyron Estimator,
[method=Cv, species=CCCC]
T,P,p,out_Cv,Phase
150,10,10000000,84.373,liquid
160,10,10000000,84.434,liquid
170,10,10000000,84.617,liquid
180,10,10000000,84.949,liquid
190,10,10000000,85.444,liquid
200,10,10000000,86.111,liquid
210,10,10000000,86.95,liquid
220,10,10000000,87.957,liquid
230,10,10000000,89.127,liquid
240,10,10000000,90.45,liquid
250,10,10000000,91.916,liquid
260,10,10000000,93.512,liquid
270,10,10000000,95.227,liquid
280,10,10000000,97.047,liquid
290,10,10000000,98.961,liquid
300,10,10000000,100.96,liquid
310,10,10000000,103.02,liquid
320,10,10000000,105.15,liquid
330,10,10000000,107.33,liquid
340,10,10000000,109.56,liquid
350,10,10000000,111.82,liquid
360,10,10000000,114.11,liquid
370,10,10000000,116.44,liquid
380,10,10000000,118.79,liquid
390,10,10000000,121.17,liquid
400,10,10000000,123.57,liquid
410,10,10000000,126.01,liquid
420,10,10000000,128.48,liquid
430,10,10000000,130.98,supercritical
440,10,10000000,133.51,supercritical
450,10,10000000,136.06,supercritical
460,10,10000000,138.61,supercritical
470,10,10000000,141.11,supercritical
480,10,10000000,143.52,supercritical
490,10,10000000,145.76,supercritical
500,10,10000000,147.84,supercritical
510,10,10000000,149.75,supercritical
520,10,10000000,151.55,supercritical
530,10,10000000,153.28,supercritical
540,10,10000000,154.96,supercritical
550,10,10000000,156.62,supercritical
560,10,10000000,158.28,supercritical
570,10,10000000,159.93,supercritical
150,30,30000000,85.345,liquid
160,30,30000000,85.365,liquid
170,30,30000000,85.524,liquid
180,30,30000000,85.843,liquid
190,30,30000000,86.333,liquid
200,30,30000000,86.999,liquid
210,30,30000000,87.839,liquid
220,30,30000000,88.85,liquid
230,30,30000000,90.024,liquid
240,30,30000000,91.352,liquid
250,30,30000000,92.823,liquid
260,30,30000000,94.423,liquid
270,30,30000000,96.141,liquid
280,30,30000000,97.963,liquid
290,30,30000000,99.878,liquid
300,30,30000000,101.87,liquid
310,30,30000000,103.93,liquid
320,30,30000000,106.05,liquid
330,30,30000000,108.22,liquid
340,30,30000000,110.42,liquid
350,30,30000000,112.65,liquid
360,30,30000000,114.9,liquid
370,30,30000000,117.17,liquid
380,30,30000000,119.44,liquid
390,30,30000000,121.71,liquid
400,30,30000000,123.99,liquid
410,30,30000000,126.26,liquid
420,30,30000000,128.51,liquid
430,30,30000000,130.76,supercritical
440,30,30000000,132.98,supercritical
450,30,30000000,135.19,supercritical
460,30,30000000,137.38,supercritical
470,30,30000000,139.55,supercritical
480,30,30000000,141.69,supercritical
490,30,30000000,143.81,supercritical
500,30,30000000,145.9,supercritical
510,30,30000000,147.96,supercritical
520,30,30000000,150,supercritical
530,30,30000000,152.01,supercritical
540,30,30000000,153.99,supercritical
550,30,30000000,155.94,supercritical
560,30,30000000,157.87,supercritical
570,30,30000000,159.77,supercritical
150,50,50000000,86.199,liquid
160,50,50000000,86.189,liquid
170,50,50000000,86.332,liquid
180,50,50000000,86.644,liquid
190,50,50000000,87.133,liquid
200,50,50000000,87.799,liquid
210,50,50000000,88.643,liquid
220,50,50000000,89.658,liquid
230,50,50000000,90.837,liquid
240,50,50000000,92.169,liquid
250,50,50000000,93.644,liquid
260,50,50000000,95.249,liquid
270,50,50000000,96.971,liquid
280,50,50000000,98.796,liquid
290,50,50000000,100.71,liquid
300,50,50000000,102.71,liquid
310,50,50000000,104.77,liquid
320,50,50000000,106.89,liquid
330,50,50000000,109.05,liquid
340,50,50000000,111.25,liquid
350,50,50000000,113.48,liquid
360,50,50000000,115.73,liquid
370,50,50000000,117.99,liquid
380,50,50000000,120.26,liquid
390,50,50000000,122.52,liquid
400,50,50000000,124.79,liquid
410,50,50000000,127.05,liquid
420,50,50000000,129.29,liquid
430,50,50000000,131.52,supercritical
440,50,50000000,133.74,supercritical
450,50,50000000,135.93,supercritical
460,50,50000000,138.1,supercritical
470,50,50000000,140.25,supercritical
480,50,50000000,142.38,supercritical
490,50,50000000,144.48,supercritical
500,50,50000000,146.56,supercritical
510,50,50000000,148.61,supercritical
520,50,50000000,150.64,supercritical
530,50,50000000,152.64,supercritical
540,50,50000000,154.61,supercritical
550,50,50000000,156.56,supercritical
560,50,50000000,158.48,supercritical
570,50,50000000,160.37,supercritical
