T,P,p,Cv,Cp,u,Phase
150,10,10000000,84.373,115.08,1769.4,liquid
160,10,10000000,84.434,115.62,1711.8,liquid
170,10,10000000,84.617,116.27,1655.8,liquid
180,10,10000000,84.949,117.05,1600.9,liquid
190,10,10000000,85.444,117.98,1546.8,liquid
200,10,10000000,86.111,119.06,1493.4,liquid
210,10,10000000,86.95,120.31,1440.6,liquid
220,10,10000000,87.957,121.73,1388.4,liquid
230,10,10000000,89.127,123.31,1336.8,liquid
240,10,10000000,90.45,125.06,1285.8,liquid
250,10,10000000,91.916,126.97,1235.4,liquid
260,10,10000000,93.512,129.02,1185.7,liquid
270,10,10000000,95.227,131.23,1136.5,liquid
280,10,10000000,97.047,133.58,1088.1,liquid
290,10,10000000,98.961,136.06,1040.2,liquid
300,10,10000000,100.96,138.68,993.02,liquid
310,10,10000000,103.02,141.43,946.46,liquid
320,10,10000000,105.15,144.3,900.52,liquid
330,10,10000000,107.33,147.31,855.19,liquid
340,10,10000000,109.56,150.46,810.46,liquid
350,10,10000000,111.82,153.74,766.31,liquid
360,10,10000000,114.11,157.19,722.73,liquid
370,10,10000000,116.44,160.8,679.71,liquid
380,10,10000000,118.79,164.61,637.27,liquid
390,10,10000000,121.17,168.63,595.4,liquid
400,10,10000000,123.57,172.93,554.16,liquid
410,10,10000000,126.01,177.54,513.58,liquid
420,10,10000000,128.48,182.54,473.76,liquid
430,10,10000000,130.98,188.04,434.83,supercritical
440,10,10000000,133.51,194.14,397.04,supercritical
450,10,10000000,136.06,200.93,360.83,supercritical
460,10,10000000,138.61,208.29,326.99,supercritical
470,10,10000000,141.11,215.59,296.89,supercritical
480,10,10000000,143.52,221.4,272.29,supercritical
490,10,10000000,145.76,224.14,254.52,supercritical
500,10,10000000,147.84,223.43,243.5,supercritical
510,10,10000000,149.75,220.36,237.86,supercritical
520,10,10000000,151.55,216.25,236.05,supercritical
530,10,10000000,153.28,212.01,236.83,supercritical
540,10,10000000,154.96,208.15,239.33,supercritical
550,10,10000000,156.62,204.86,242.94,supercritical
560,10,10000000,158.28,202.21,247.22,supercritical
570,10,10000000,159.93,200.16,251.9,supercritical
150,30,30000000,85.345,114.53,1842.9,liquid
160,30,30000000,85.365,114.97,1790.3,liquid
170,30,30000000,85.524,115.53,1739.3,liquid
180,30,30000000,85.843,116.2,1689.2,liquid
190,30,30000000,86.333,117.01,1640.1,liquid
200,30,30000000,86.999,117.96,1591.7,liquid
210,30,30000000,87.839,119.07,1544.1,liquid
220,30,30000000,88.85,120.32,1497.2,liquid
230,30,30000000,90.024,121.71,1451.1,liquid
240,30,30000000,91.352,123.24,1405.8,liquid
250,30,30000000,92.823,124.91,1361.4,liquid
260,30,30000000,94.423,126.7,1317.9,liquid
270,30,30000000,96.141,128.6,1275.3,liquid
280,30,30000000,97.963,130.6,1233.6,liquid
290,30,30000000,99.878,132.69,1193,liquid
300,30,30000000,101.87,134.86,1153.4,liquid
310,30,30000000,103.93,137.1,1114.8,liquid
320,30,30000000,106.05,139.4,1077.2,liquid
330,30,30000000,108.22,141.74,1040.8,liquid
340,30,30000000,110.42,144.12,1005.4,liquid
350,30,30000000,112.65,146.53,971.05,liquid
360,30,30000000,114.9,148.97,937.85,liquid
370,30,30000000,117.17,151.41,905.78,liquid
380,30,30000000,119.44,153.86,874.84,liquid
390,30,30000000,121.71,156.3,845.05,liquid
400,30,30000000,123.99,158.73,816.42,liquid
410,30,30000000,126.26,161.15,788.97,liquid
420,30,30000000,128.51,163.54,762.71,liquid
430,30,30000000,130.76,165.91,737.65,supercritical
440,30,30000000,132.98,168.24,713.78,supercritical
450,30,30000000,135.19,170.53,691.11,supercritical
460,30,30000000,137.38,172.77,669.64,supercritical
470,30,30000000,139.55,174.97,649.36,supercritical
480,30,30000000,141.69,177.12,630.24,supercritical
490,30,30000000,143.81,179.21,612.27,supercritical
500,30,30000000,145.9,181.24,595.43,supercritical
510,30,30000000,147.96,183.21,579.69,supercritical
520,30,30000000,150,185.11,565.03,supercritical
530,30,30000000,152.01,186.95,551.43,supercritical
540,30,30000000,153.99,188.72,538.85,supercritical
550,30,30000000,155.94,190.43,527.27,supercritical
560,30,30000000,157.87,192.06,516.67,supercritical
570,30,30000000,159.77,193.62,507,supercritical
150,50,50000000,86.199,114.14,1910.3,liquid
160,50,50000000,86.189,114.53,1861.8,liquid
170,50,50000000,86.332,115.03,1814.6,liquid
180,50,50000000,86.644,115.64,1768.3,liquid
