T,P,p,Cv,Cp,u,Phase
200,0.1,100000,85.632,119.85,1438.8,liquid
210,0.1,100000,86.471,121.22,1382.6,liquid
220,0.1,100000,87.477,122.79,1326.8,liquid
230,0.1,100000,88.645,124.54,1271.4,liquid
240,0.1,100000,89.967,126.49,1216.2,liquid
250,0.1,100000,91.431,128.63,1161.4,liquid
260,0.1,100000,93.028,130.97,1106.7,liquid
270,0.1,100000,94.744,133.52,1052.3,liquid
272.31,0.1,100000,95.157,134.15,1039.7,liquid
272.31,0.1,100000,85.131,95.267,200.07,vapor
280,0.1,100000,86.832,96.764,203.31,vapor
290,0.1,100000,89.128,98.841,207.36,vapor
300,0.1,100000,91.498,101.03,211.27,vapor
310,0.1,100000,93.928,103.32,215.06,vapor
320,0.1,100000,96.404,105.67,218.73,vapor
330,0.1,100000,98.913,108.08,222.31,vapor
340,0.1,100000,101.45,110.52,225.8,vapor
350,0.1,100000,103.99,112.99,229.21,vapor
360,0.1,100000,106.54,115.48,232.55,vapor
370,0.1,100000,109.1,117.98,235.82,vapor
380,0.1,100000,111.64,120.48,239.03,vapor
390,0.1,100000,114.18,122.97,242.19,vapor
400,0.1,100000,116.69,125.45,245.29,vapor
410,0.1,100000,119.19,127.91,248.35,vapor
420,0.1,100000,121.67,130.36,251.36,vapor
430,0.1,100000,124.12,132.78,254.33,vapor
440,0.1,100000,126.54,135.18,257.25,vapor
450,0.1,100000,128.93,137.55,260.14,vapor
460,0.1,100000,131.3,139.89,262.99,vapor
470,0.1,100000,133.63,142.21,265.81,vapor
480,0.1,100000,135.93,144.49,268.59,vapor
490,0.1,100000,138.2,146.75,271.34,vapor
500,0.1,100000,140.43,148.97,274.06,vapor
510,0.1,100000,142.63,151.16,276.75,vapor
520,0.1,100000,144.8,153.32,279.42,vapor
530,0.1,100000,146.94,155.44,282.05,vapor
540,0.1,100000,149.05,157.54,284.66,vapor
550,0.1,100000,151.12,159.6,287.25,vapor
560,0.1,100000,153.16,161.64,289.8,vapor
570,0.1,100000,155.17,163.64,292.34,vapor
