Clapeyron Estimator
[method=rhol, species=CCCC]
T,p,out_rhol
150,10000000,12479.82321
160,10000000,12325.40743
170,10000000,12171.17231
180,10000000,12016.90766
190,10000000,11862.41319
200,10000000,11707.48791
210,10000000,11551.92426
220,10000000,11395.50447
230,10000000,11237.99786
240,10000000,11079.1585
250,10000000,10918.72264
260,10000000,10756.40602
270,10000000,10591.90057
280,10000000,10424.8706
290,10000000,10254.94834
300,10000000,10081.72854
310,10000000,9904.762124
320,10000000,9723.548576
330,10000000,9537.526898
340,10000000,9346.064686
350,10000000,9148.444997
360,10000000,8943.850395
370,10000000,8731.343416
380,10000000,8509.84233
390,10000000,8278.09036
400,10000000,8034.615818
410,10000000,7777.680412
420,10000000,7505.21487
430,10000000,7214.750833
440,10000000,6903.39579
450,10000000,6568.012214
460,10000000,6206.031648
470,10000000,5817.705911
480,10000000,5410.13439
490,10000000,5000.001443
500,10000000,4608.880881
510,10000000,4253.296037
520,10000000,3940.11833
530,10000000,3668.832053
540,10000000,3435.223554
550,10000000,3233.883722
150,30000000,12622.47633
160,30000000,12477.74497
170,30000000,12333.78131
180,30000000,12190.46687
190,30000000,12047.69349
200,30000000,11905.35674
210,30000000,11763.35321
220,30000000,11621.57958
230,30000000,11479.9326
240,30000000,11338.3094
250,30000000,11196.60799
260,30000000,11054.72783
270,30000000,10912.57037
280,30000000,10770.03979
290,30000000,10627.04368
300,30000000,10483.49389
310,30000000,10339.30748
320,30000000,10194.40784
330,30000000,10048.72594
340,30000000,9902.201797
350,30000000,9754.786137
360,30000000,9606.442178
370,30000000,9457.147606
380,30000000,9306.8966
390,30000000,9155.701876
400,30000000,9003.596609
410,30000000,8850.636127
420,30000000,8696.899218
430,30000000,8542.488921
440,30000000,8387.532691
450,30000000,8232.181895
460,30000000,8076.610643
470,30000000,7921.014065
480,30000000,7765.606181
490,30000000,7610.617546
500,30000000,7456.292825
510,30000000,7302.88838
520,30000000,7150.669826
530,30000000,6999.909425
540,30000000,6850.883094
550,30000000,6703.866819
150,50000000,12752.69292
160,50000000,12615.75697
170,50000000,12479.93749
180,50000000,12345.16524
190,50000000,12211.37669
200,50000000,12078.50993
210,50000000,11946.50345
220,50000000,11815.29623
230,50000000,11684.82834
240,50000000,11555.04163
250,50000000,11425.88039
260,50000000,11297.29204
270,50000000,11169.22765
280,50000000,11041.64242
290,50000000,10914.49613
300,50000000,10787.75351
310,50000000,10661.38457
320,50000000,10535.36498
330,50000000,10409.67629
340,50000000,10284.30622
350,50000000,10159.24894
360,50000000,10034.50518
370,50000000,9910.082449
380,50000000,9785.995124
390,50000000,9662.264448
400,50000000,9538.918498
410,50000000,9415.992036
420,50000000,9293.52627
430,50000000,9171.568496
440,50000000,9050.171648
450,50000000,8929.39373
460,50000000,8809.297157
470,50000000,8689.94802
480,50000000,8571.415278
490,50000000,8453.769917
500,50000000,8337.084096
510,50000000,8221.430302
520,50000000,8106.880534
530,50000000,7993.505555
540,50000000,7881.374201
550,50000000,7770.552769
