Clapeyron Estimator,
[method=saturation_p, species=CCCC]
T,out_p
170,1.16E+02
175,2.01E+02
180,3.35E+02
185,5.41E+02
190,8.50E+02
195,1.30E+03
200,1.94E+03
205,2828.950154
210,4042.583304
215,5667.067603
220,7804.510916
225,10572.71912
230,14105.77678
235,18554.41793
240,24086.19063
245,30885.42601
250,39153.02914
255,49106.11286
260,60977.49897
265,75015.11269
270,91481.29644
275,110652.0688
280,132816.3534
285,158275.2005
290,187341.0242
295,220336.8731
300,257595.7562
305,299460.0389
310,346280.9298
315,398418.0753
320,456239.2848
325,520120.4153
330,590445.4491
335,667606.8046
340,752005.9155
345,844054.1004
350,944173.7418
355,1052799.807
360,1170381.799
365,1297386.327
370,1434300.565
375,1581637.02
380,1739940.098
385,1909795.175
