Clapeyron Estimator,
[method=saturation_rhol, species=CCCC]
T,out_rhol
170,12082.07504
175,12001.63753
180,11921.02715
185,11840.20851
190,11759.14561
195,11677.80155
200,11596.1383
205,11514.11651
210,11431.69532
215,11348.83216
220,11265.48262
225,11181.60025
230,11097.13634
235,11012.03976
240,10926.2567
245,10839.7304
250,10752.40091
255,10664.2047
260,10575.07433
265,10484.93803
270,10393.71917
275,10301.33576
280,10207.69977
285,10112.71639
290,10016.28316
295,9918.28896
300,9818.612792
305,9717.122361
310,9613.672362
315,9508.102417
320,9400.234573
325,9289.870224
330,9176.786309
335,9060.730541
340,8941.415378
345,8818.510276
350,8691.631627
355,8560.329454
360,8424.069548
365,8282.208983
370,8133.961791
375,7978.349484
380,7814.127305
385,7639.66991
