Clapeyron Estimator,
[method=saturation_rhov, species=CCCC]
T,out_rhov
170,0.082203
175,0.13795
180,0.2238
185,0.35209
190,0.53854
195,0.80276
200,1.1686
205,1.6647
210,2.3244
215,3.1862
220,4.2942
225,5.6973
230,7.4503
235,9.613
240,12.251
245,15.434
250,19.239
255,23.746
260,29.042
265,35.219
270,42.374
275,50.611
280,60.039
285,70.775
290,82.943
295,96.676
300,112.12
305,129.41
310,148.74
315,170.27
320,194.2
325,220.75
330,250.15
335,282.7
340,318.68
345,358.45
350,402.41
355,451.05
360,504.92
365,564.71
370,631.24
375,705.53
380,788.88
385,882.98
