Clapeyron Estimator,,
[method=u, species=CCCC],
T,p,out_u
150,10000000,1769.4
160,10000000,1711.8
170,10000000,1655.8
180,10000000,1600.9
190,10000000,1546.8
200,10000000,1493.4
210,10000000,1440.6
220,10000000,1388.4
230,10000000,1336.8
240,10000000,1285.8
250,10000000,1235.4
260,10000000,1185.7
270,10000000,1136.5
280,10000000,1088.1
290,10000000,1040.2
300,10000000,993.02
310,10000000,946.46
320,10000000,900.52
330,10000000,855.19
340,10000000,810.46
350,10000000,766.31
360,10000000,722.73
370,10000000,679.71
380,10000000,637.27
390,10000000,595.4
400,10000000,554.16
410,10000000,513.58
420,10000000,473.76
430,10000000,434.83
440,10000000,397.04
450,10000000,360.83
460,10000000,326.99
470,10000000,296.89
480,10000000,272.29
490,10000000,254.52
500,10000000,243.5
510,10000000,237.86
520,10000000,236.05
530,10000000,236.83
540,10000000,239.33
550,10000000,242.94
560,10000000,247.22
570,10000000,251.9
150,30000000,1842.9
160,30000000,1790.3
170,30000000,1739.3
180,30000000,1689.2
190,30000000,1640.1
200,30000000,1591.7
210,30000000,1544.1
220,30000000,1497.2
230,30000000,1451.1
240,30000000,1405.8
250,30000000,1361.4
260,30000000,1317.9
270,30000000,1275.3
280,30000000,1233.6
290,30000000,1193
300,30000000,1153.4
310,30000000,1114.8
320,30000000,1077.2
330,30000000,1040.8
340,30000000,1005.4
350,30000000,971.05
360,30000000,937.85
370,30000000,905.78
380,30000000,874.84
390,30000000,845.05
400,30000000,816.42
410,30000000,788.97
420,30000000,762.71
430,30000000,737.65
440,30000000,713.78
450,30000000,691.11
460,30000000,669.64
470,30000000,649.36
480,30000000,630.24
490,30000000,612.27
500,30000000,595.43
510,30000000,579.69
520,30000000,565.03
530,30000000,551.43
540,30000000,538.85
550,30000000,527.27
560,30000000,516.67
570,30000000,507
150,50000000,1910.3
160,50000000,1861.8
170,50000000,1814.6
180,50000000,1768.3
190,50000000,1722.9
200,50000000,1678.2
210,50000000,1634.3
220,50000000,1591.2
230,50000000,1548.9
240,50000000,1507.5
250,50000000,1466.9
260,50000000,1427.4
270,50000000,1388.8
280,50000000,1351.2
290,50000000,1314.6
300,50000000,1279.1
310,50000000,1244.7
320,50000000,1211.3
330,50000000,1179
340,50000000,1147.8
350,50000000,1117.6
360,50000000,1088.5
370,50000000,1060.5
380,50000000,1033.5
390,50000000,1007.6
400,50000000,982.64
410,50000000,958.73
420,50000000,935.81
430,50000000,913.88
440,50000000,892.91
450,50000000,872.89
460,50000000,853.8
470,50000000,835.63
480,50000000,818.34
490,50000000,801.91
500,50000000,786.33
510,50000000,771.56
520,50000000,757.58
530,50000000,744.36
540,50000000,731.88
550,50000000,720.1
560,50000000,709
570,50000000,698.55
