Clapeyron Estimator,,,
[method=bubble_p],,,
x,T,out_p,out_y
0.686,423.56,297000,0.179
0.636,423.56,323000,0.157
0.576,423.56,351000,0.136
0.515,423.56,378000,0.118
0.451,423.56,402000,0.104
0.378,423.56,428000,0.09
0.296,423.56,455000,0.075
0.217,423.56,480000,0.061
0.142,423.56,505000,0.045
0.072,423.56,530000,0.027
0.847,443.6,297000,0.377
0.791,443.6,349000,0.308
0.724,443.6,406000,0.25
0.652,443.6,457000,0.208
0.569,443.6,513000,0.172
0.48,443.6,565000,0.142
0.381,443.6,619000,0.115
0.268,443.6,674000,0.087
0.168,443.6,725000,0.061
0.076,443.6,773000,0.031
0.943,463.62,309000,0.682
0.879,463.62,395000,0.5
0.809,463.62,480000,0.391
0.734,463.62,563000,0.313
0.649,463.62,649000,0.254
0.558,463.62,734000,0.206
0.455,463.62,817000,0.167
0.339,463.62,902000,0.128
0.219,463.62,988000,0.089
0.102,463.62,1078000,0.046
