Clapeyron Estimator,,,
[method=bubble_t],,,
x,p,out_T,out_y
0.001,101400,433.2,0.981
0.002,101400,433.1,0.982
0.01,101400,430.2,0.885
0.029,101100,423.8,0.691
0.092,101200,407,0.361
0.196,101200,390.3,0.159
0.23,100600,382,0.117
0.331,100600,380.7,0.082
0.394,100400,370.2,0.05
0.469,101600,367.8,0.038
0.497,100600,363.4,0.04
0.502,100600,362,0.033
0.584,100600,358.7,0.035
0.601,100400,360.3,0.035
0.698,100500,356.3,0.02
0.738,100500,355.9,0.02
0.758,100700,358.7,0.018
0.828,100700,356.8,0.015
0.878,100500,355.1,0.015
0.902,100500,355.7,0.012
0.936,100500,354.7,0.015
0.986,100400,354.2,0.004
