Clapeyron Estimator,,,
[method=binary_density],,,
x,P,T,out_mass_density
0.003823001,101325,293.15,779.3
0.009560801,101325,293.15,780.2
0.015942422,101325,293.15,781.2
0.026551857,101325,293.15,782.9
0.044239948,101325,293.15,785.8
0.055281244,101325,293.15,787.7
0.069077618,101325,293.15,790
0.086293852,101325,293.15,793
0.107802259,101325,293.15,796.7
0.003823001,101325,298.15,774.3
0.009560801,101325,298.15,775.1
0.015942422,101325,298.15,776.2
0.026551857,101325,298.15,778
0.044239948,101325,298.15,780.8
0.055281244,101325,298.15,782.6
0.069077618,101325,298.15,784.8
0.086293852,101325,298.15,787.7
0.107802259,101325,298.15,791.5
0.003823001,101325,303.15,769.3
0.009560801,101325,303.15,770.1
0.015942422,101325,303.15,771.2
0.026551857,101325,303.15,772.9
0.044239948,101325,303.15,775.9
0.055281244,101325,303.15,777.7
0.069077618,101325,303.15,780.1
0.086293852,101325,303.15,783
0.107802259,101325,303.15,786.8
0.003823001,101325,313.15,759.4
0.009560801,101325,313.15,760.3
0.015942422,101325,313.15,761.2
0.026551857,101325,313.15,762.8
0.044239948,101325,313.15,765.6
0.055281244,101325,313.15,767.4
0.069077618,101325,313.15,769.7
0.086293852,101325,313.15,772.6
0.107802259,101325,313.15,776.5
0.003823001,101325,323.15,749.1
0.009560801,101325,323.15,750.3
0.015942422,101325,323.15,751.3
0.026551857,101325,323.15,753
0.044239948,101325,323.15,755.9
0.055281244,101325,323.15,757.6
0.069077618,101325,323.15,759.9
0.086293852,101325,323.15,762.7
0.107802259,101325,323.15,766.4
0.003823001,101325,333.15,739
0.009560801,101325,333.15,740.1
0.015942422,101325,333.15,741
0.026551857,101325,333.15,742.8
0.044239948,101325,333.15,745.6
0.055281244,101325,333.15,747.4
0.069077618,101325,333.15,749.7
0.086293852,101325,333.15,752.4
0.107802259,101325,333.15,755.9
