Clapeyron Estimator,,
[method=bubble_t],,
x,p,out_T
0.881,26660,384.75
0.775,26660,380.56
0.683,26660,378.75
0.573,26660,377.75
0.497,26660,377.14
0.4,26660,376.54
0.349,26660,376.44
0.296,26660,376.4
0.251,26660,376.37
0.165,26660,376.48
0.08,26660,377.47
0.881,53330,404.99
0.775,53330,401.04
0.683,53330,399.18
0.573,53330,398.1
0.497,53330,397.52
0.4,53330,397.04
0.349,53330,396.9
0.296,53330,396.93
0.251,53330,397.05
0.165,53330,397.36
0.08,53330,398.74
0.881,80000,418.06
0.775,80000,414.27
0.683,80000,412.44
0.573,80000,411.37
0.497,80000,410.82
0.4,80000,410.46
0.349,80000,410.29
0.296,80000,410.39
0.251,80000,410.62
0.165,80000,411.08
0.08,80000,412.7
