Clapeyron Estimator
[method=Cp, species=CCCCCCCCCC]
T,p,out_Cp
260,10000000,292.66
270,10000000,297.12
280,10000000,301.82
290,10000000,306.72
300,10000000,311.8
310,10000000,317.02
320,10000000,322.36
330,10000000,327.81
340,10000000,333.33
350,10000000,338.92
360,10000000,344.56
370,10000000,350.22
380,10000000,355.9
390,10000000,361.59
400,10000000,367.27
410,10000000,372.94
420,10000000,378.59
430,10000000,384.2
440,10000000,389.78
450,10000000,395.32
460,10000000,400.8
470,10000000,406.24
480,10000000,411.62
490,10000000,416.95
500,10000000,422.22
510,10000000,427.42
520,10000000,432.56
530,10000000,437.62
540,10000000,442.62
550,10000000,447.54
560,10000000,452.39
570,10000000,457.14
580,10000000,461.81
590,10000000,466.39
600,10000000,470.86
610,10000000,475.21
620,10000000,479.46
630,10000000,483.58
640,10000000,487.57
650,10000000,491.45
660,10000000,495.2
670,10000000,498.84
270,30000000,296.25
280,30000000,300.79
290,30000000,305.53
300,30000000,310.43
310,30000000,315.47
320,30000000,320.63
330,30000000,325.88
340,30000000,331.2
350,30000000,336.57
360,30000000,341.98
370,30000000,347.4
380,30000000,352.83
390,30000000,358.25
400,30000000,363.65
410,30000000,369.02
420,30000000,374.34
430,30000000,379.62
440,30000000,384.84
450,30000000,390
460,30000000,395.09
470,30000000,400.11
480,30000000,405.05
490,30000000,409.9
500,30000000,414.68
510,30000000,419.36
520,30000000,423.96
530,30000000,428.46
540,30000000,432.88
550,30000000,437.2
560,30000000,441.43
570,30000000,445.56
580,30000000,449.6
590,30000000,453.55
600,30000000,457.41
610,30000000,461.18
620,30000000,464.86
630,30000000,468.46
640,30000000,471.96
650,30000000,475.39
660,30000000,478.73
670,30000000,482
290,50000000,304.98
300,50000000,309.78
310,50000000,314.72
320,50000000,319.78
330,50000000,324.93
340,50000000,330.14
350,50000000,335.41
360,50000000,340.72
370,50000000,346.04
380,50000000,351.36
390,50000000,356.68
400,50000000,361.97
410,50000000,367.23
420,50000000,372.46
430,50000000,377.63
440,50000000,382.75
450,50000000,387.81
460,50000000,392.8
470,50000000,397.72
480,50000000,402.57
490,50000000,407.34
500,50000000,412.02
510,50000000,416.63
520,50000000,421.14
530,50000000,425.58
540,50000000,429.93
550,50000000,434.19
560,50000000,438.37
570,50000000,442.46
580,50000000,446.46
590,50000000,450.39
600,50000000,454.23
610,50000000,457.98
620,50000000,461.66
630,50000000,465.26
640,50000000,468.78
650,50000000,472.23
660,50000000,475.6
670,50000000,478.9
