Clapeyron Estimator,
[method=Cv, species=CCCCCCCCCC]
T,P,p,Phase,out_Cv
260,10,10000000,liquid,232.76
270,10,10000000,liquid,237.87
280,10,10000000,liquid,243.13
290,10,10000000,liquid,248.53
300,10,10000000,liquid,254.03
310,10,10000000,liquid,259.62
320,10,10000000,liquid,265.29
330,10,10000000,liquid,271.01
340,10,10000000,liquid,276.77
350,10,10000000,liquid,282.55
360,10,10000000,liquid,288.34
370,10,10000000,liquid,294.13
380,10,10000000,liquid,299.91
390,10,10000000,liquid,305.66
400,10,10000000,liquid,311.39
410,10,10000000,liquid,317.07
420,10,10000000,liquid,322.71
430,10,10000000,liquid,328.3
440,10,10000000,liquid,333.82
450,10,10000000,liquid,339.29
460,10,10000000,liquid,344.69
470,10,10000000,liquid,350.03
480,10,10000000,liquid,355.29
490,10,10000000,liquid,360.48
500,10,10000000,liquid,365.6
510,10,10000000,liquid,370.65
520,10,10000000,liquid,375.62
530,10,10000000,liquid,380.51
540,10,10000000,liquid,385.34
550,10,10000000,liquid,390.08
560,10,10000000,liquid,394.76
570,10,10000000,liquid,399.36
580,10,10000000,liquid,403.89
590,10,10000000,liquid,408.35
600,10,10000000,liquid,412.74
610,10,10000000,liquid,417.06
620,10,10000000,supercritical,421.31
630,10,10000000,supercritical,425.48
640,10,10000000,supercritical,429.59
650,10,10000000,supercritical,433.62
660,10,10000000,supercritical,437.58
670,10,10000000,supercritical,441.46
270,30,30000000,liquid,239.33
280,30,30000000,liquid,244.57
290,30,30000000,liquid,249.93
300,30,30000000,liquid,255.41
310,30,30000000,liquid,260.98
320,30,30000000,liquid,266.62
330,30,30000000,liquid,272.32
340,30,30000000,liquid,278.05
350,30,30000000,liquid,283.81
360,30,30000000,liquid,289.58
370,30,30000000,liquid,295.35
380,30,30000000,liquid,301.1
390,30,30000000,liquid,306.83
400,30,30000000,liquid,312.52
410,30,30000000,liquid,318.18
420,30,30000000,liquid,323.78
430,30,30000000,liquid,329.33
440,30,30000000,liquid,334.82
450,30,30000000,liquid,340.25
460,30,30000000,liquid,345.61
470,30,30000000,liquid,350.89
480,30,30000000,liquid,356.1
490,30,30000000,liquid,361.23
500,30,30000000,liquid,366.29
510,30,30000000,liquid,371.26
520,30,30000000,liquid,376.15
530,30,30000000,liquid,380.96
540,30,30000000,liquid,385.69
550,30,30000000,liquid,390.34
560,30,30000000,liquid,394.9
570,30,30000000,liquid,399.38
580,30,30000000,liquid,403.79
590,30,30000000,liquid,408.11
600,30,30000000,liquid,412.35
610,30,30000000,liquid,416.52
620,30,30000000,supercritical,420.61
630,30,30000000,supercritical,424.62
640,30,30000000,supercritical,428.56
650,30,30000000,supercritical,432.43
660,30,30000000,supercritical,436.22
670,30,30000000,supercritical,439.94
290,50,50000000,liquid,251.28
300,50,50000000,liquid,256.73
310,50,50000000,liquid,262.28
320,50,50000000,liquid,267.9
330,50,50000000,liquid,273.58
340,50,50000000,liquid,279.3
350,50,50000000,liquid,285.04
360,50,50000000,liquid,290.79
370,50,50000000,liquid,296.53
380,50,50000000,liquid,302.27
390,50,50000000,liquid,307.98
400,50,50000000,liquid,313.66
410,50,50000000,liquid,319.3
420,50,50000000,liquid,324.88
430,50,50000000,liquid,330.42
440,50,50000000,liquid,335.89
450,50,50000000,liquid,341.3
460,50,50000000,liquid,346.63
470,50,50000000,liquid,351.9
480,50,50000000,liquid,357.09
490,50,50000000,liquid,362.2
500,50,50000000,liquid,367.24
510,50,50000000,liquid,372.19
520,50,50000000,liquid,377.06
530,50,50000000,liquid,381.84
540,50,50000000,liquid,386.55
550,50,50000000,liquid,391.17
560,50,50000000,liquid,395.71
570,50,50000000,liquid,400.17
580,50,50000000,liquid,404.55
590,50,50000000,liquid,408.85
600,50,50000000,liquid,413.07
610,50,50000000,liquid,417.21
620,50,50000000,supercritical,421.27
630,50,50000000,supercritical,425.26
640,50,50000000,supercritical,429.17
650,50,50000000,supercritical,433.02
660,50,50000000,supercritical,436.79
670,50,50000000,supercritical,440.48
