T,P,p,Cv,Cp,u,Phase
260,10,10000000,232.7619093,292.6552014,1447.592968,liquid
270,10,10000000,237.8708088,297.12121,1405.7037,liquid
280,10,10000000,243.1330005,301.8204007,1365.180129,liquid
290,10,10000000,248.5263056,306.7216597,1325.91788,liquid
300,10,10000000,254.0296413,311.7962928,1287.823118,liquid
310,10,10000000,259.6231585,317.0179352,1250.811032,liquid
320,10,10000000,265.2883058,322.362433,1214.804663,liquid
330,10,10000000,271.0078484,327.8077161,1179.733984,liquid
340,10,10000000,276.7658602,333.3336706,1145.53515,liquid
350,10,10000000,282.5476998,338.9220178,1112.14988,liquid
360,10,10000000,288.3399765,344.556199,1079.524955,liquid
370,10,10000000,294.1305099,350.2212686,1047.611789,liquid
380,10,10000000,299.9082859,355.9037918,1016.366081,liquid
390,10,10000000,305.6634081,361.5917478,985.747526,liquid
400,10,10000000,311.3870475,367.2744357,955.7195898,liquid
410,10,10000000,317.0713897,372.9423826,926.2493334,liquid
420,10,10000000,322.7095801,378.5872528,897.3072923,liquid
430,10,10000000,328.2956685,384.201756,868.8674076,liquid
440,10,10000000,333.8245516,389.7795551,840.9070098,liquid
450,10,10000000,339.2919164,395.3151712,813.4068558,liquid
460,10,10000000,344.6941823,400.8038849,786.3512217,liquid
470,10,10000000,350.0284443,406.2416333,759.7280529,liquid
480,10,10000000,355.2924158,411.6249001,733.5291735,liquid
490,10,10000000,360.4843727,416.9505976,707.7505543,liquid
500,10,10000000,365.6030969,422.2159396,682.3926395,liquid
510,10,10000000,370.6478208,427.4183025,657.4607234,liquid
520,10,10000000,375.6181702,432.5550754,632.965367,liquid
530,10,10000000,380.5141075,437.6234991,608.9228299,liquid
540,10,10000000,385.3358717,442.6204988,585.3554839,liquid
550,10,10000000,390.0839159,447.5425174,562.2921509,liquid
560,10,10000000,394.7588411,452.3853646,539.7682902,liquid
570,10,10000000,399.3613246,457.1441042,517.8259308,liquid
580,10,10000000,403.8920444,461.8130108,496.5132202,liquid
590,10,10000000,408.3515986,466.3856387,475.8834472,liquid
600,10,10000000,412.7404241,470.8550477,455.9933987,liquid
610,10,10000000,417.0587167,475.2142259,436.9009532,liquid
620,10,10000000,421.3063619,479.4567269,418.661907,supercritical
630,10,10000000,425.482883,483.577492,401.3261783,supercritical
640,10,10000000,429.5874184,487.5737629,384.9337308,supercritical
650,10,10000000,433.6187349,491.4459193,369.5107518,supercritical
660,10,10000000,437.5752833,495.1980222,355.0667489,supercritical
670,10,10000000,441.4552934,498.8378521,341.5932108,supercritical
270,30,30000000,239.3303285,296.2523146,1506.846819,liquid
280,30,30000000,244.5653641,300.7918031,1469.183623,liquid
290,30,30000000,249.9329214,305.5276163,1432.874202,liquid
300,30,30000000,255.4116122,310.4302953,1397.830461,liquid
310,30,30000000,260.9813009,315.4727018,1363.973372,liquid
320,30,30000000,266.6231636,320.6298933,1331.231806,liquid
330,30,30000000,272.3197019,325.8789893,1299.541608,liquid
340,30,30000000,278.0547307,331.1990395,1268.844844,liquid
350,30,30000000,283.813351,336.5708983,1239.089163,liquid
360,30,30000000,289.5819119,341.977107,1210.227267,liquid
370,30,30000000,295.347968,347.4017847,1182.216439,liquid
380,30,30000000,301.1002315,352.8305251,1155.018142,liquid
390,30,30000000,306.8285215,358.2503011,1128.597657,liquid
400,30,30000000,312.523711,363.6493731,1102.923765,liquid
410,30,30000000,318.1776718,369.0172022,1077.968461,liquid
420,30,30000000,323.7832173,374.3443675,1053.70669,liquid
430,30,30000000,329.3340444,379.6224866,1030.116111,liquid
440,30,30000000,334.8246756,384.8441392,1007.176877,liquid
450,30,30000000,340.2503993,390.0027947,984.8714283,liquid
460,30,30000000,345.6072122,395.0927431,963.1842987,liquid
470,30,30000000,350.8917613,400.10903,942.1019304,liquid
480,30,30000000,356.1012883,405.0473951,921.6124941,liquid
490,30,30000000,361.2335748,409.9042152,901.7057137,liquid
500,30,30000000,366.2868905,414.6764523,882.3726921,liquid
510,30,30000000,371.2599432,419.3616049,863.6057379,liquid
520,30,30000000,376.1518316,423.957665,845.3981906,liquid
530,30,30000000,380.9620016,428.4630794,827.7442447,liquid
540,30,30000000,385.6902041,432.8767147,810.6387711,liquid
550,30,30000000,390.3364578,437.197827,794.0771382,liquid
560,30,30000000,394.901013,441.4260353,778.0550305,liquid
570,30,30000000,399.3843203,445.5612979,762.5682701,liquid
580,30,30000000,403.7870007,449.6038915,747.6126394,liquid
590,30,30000000,408.1098201,453.5543921,733.1837111,liquid
600,30,30000000,412.3536653,457.4136575,719.276686,liquid
610,30,30000000,416.5195236,461.1828104,705.8862436,liquid
620,30,30000000,420.6084647,464.8632209,693.006409,supercritical
630,30,30000000,424.6216247,468.4564886,680.6304392,supercritical
640,30,30000000,428.5601929,471.9644238,668.7507327,supercritical
650,30,30000000,432.4253996,475.3890261,657.3587641,supercritical
660,30,30000000,436.2185071,478.7324624,646.4450478,supercritical
670,30,30000000,439.940801,481.9970418,635.9991289,supercritical
290,50,50000000,251.2779621,304.9817533,1526.780931,liquid
300,50,50000000,256.7335668,309.7834575,1493.788981,liquid
310,50,50000000,262.2814547,314.7246053,1462.013146,liquid
320,50,50000000,267.9026074,319.7801419,1431.382559,liquid
330,50,50000000,273.5793511,324.9271125,1401.833052,liquid
340,50,50000000,279.2953411,330.1445289,1373.306389,liquid
350,50,50000000,285.0355327,335.4132438,1345.749628,liquid
360,50,50000000,290.786141,340.7158325,1319.114576,liquid
370,50,50000000,296.5345971,346.0364835,1293.357304,liquid
380,50,50000000,302.2694986,351.3608969,1268.437737,liquid
390,50,50000000,307.9805586,356.6761884,1244.319271,liquid
400,50,50000000,313.6585518,361.970799,1220.968443,liquid
410,50,50000000,319.2952583,367.2344088,1198.35463,liquid
420,50,50000000,324.8834074,372.4578544,1176.44977,liquid
430,50,50000000,330.4166186,377.63305,1155.228118,liquid
440,50,50000000,335.8893437,382.7529103,1134.666013,liquid
450,50,50000000,341.2968078,387.8112783,1114.74167,liquid
460,50,50000000,346.6349515,392.8028538,1095.434987,liquid
470,50,50000000,351.9003737,397.7231267,1076.727365,liquid
480,50,50000000,357.090276,402.5683123,1058.601546,liquid
490,50,50000000,362.202409,407.3352902,1041.041458,liquid
500,50,50000000,367.2350206,412.0215466,1024.032071,liquid
510,50,50000000,372.186807,416.6251195,1007.55927,liquid
520,50,50000000,377.0568658,421.1445476,991.6097318,liquid
530,50,50000000,381.8446526,425.5788222,976.1708112,liquid
540,50,50000000,386.5499404,429.9273424,961.2304385,liquid
550,50,50000000,391.1727808,434.1898735,946.7770242,liquid
560,50,50000000,395.7134701,438.3665083,932.7993725,liquid
570,50,50000000,400.1725163,442.4576309,919.2866025,liquid
580,50,50000000,404.5506105,446.4638841,906.2280784,liquid
590,50,50000000,408.8485996,450.3861379,893.6133466,liquid
600,50,50000000,413.0674628,454.2254617,881.4320821,liquid
610,50,50000000,417.2082897,457.9830977,869.6740423,liquid
620,50,50000000,421.2722608,461.6604367,858.3290278,supercritical
630,50,50000000,425.2606308,465.2589955,847.3868525,supercritical
640,50,50000000,429.1747129,468.7803967,836.8373195,supercritical
