Clapeyron Estimator
[method=saturation_p, species=CCCCCCCCCC]
T,out_p
245,1.66E+00
250,2.87E+00
255,4.82E+00
260,7.92E+00
265,1.27E+01
270,2.00E+01
275,3.08E+01
280,4.66E+01
285,6.93E+01
290,101.405653
295,145.9900399
300,207.0881943
305,289.6708245
310,399.8478207
315,545.0388498
320,734.1516186
325,977.7653694
330,1288.316984
335,1680.286949
340,2170.382407
345,2777.714606
350,3523.968189
355,4433.560015
360,5533.785474
365,6854.950594
370,8430.488612
375,10297.06005
380,12494.63572
385,15066.5625
390,18059.61196
395,21524.01247
400,25513.46549
405,30085.14712
410,35299.69634
415,41221.19131
420,47917.11552
425,55458.31553
430,63918.95236
435,73376.44844
440,83911.4323
445,95607.68308
450,108552.0772
455,122834.5393
460,138547.9998
465,155788.3619
470,174654.4794
475,195248.1491
480,217674.1202
485,242040.1229
490,268456.9205
495,297038.3881
500,327901.6214
505,361167.0818
510,396958.7813
515,435404.5161
520,476636.1549
525,520789.9933
530,568007.1867
535,618434.2773
540,672223.8374
545,729535.2558
550,790535.706
555,855401.3477
