Clapeyron Estimator
[method=saturation_rhol, species=CCCCCCCCCC]
T,out_rhol
245,5398.040897
250,5370.195184
255,5342.453979
260,5314.804879
265,5287.235933
270,5259.735597
275,5232.292679
280,5204.896304
285,5177.535866
290,5150.200993
295,5122.88151
300,5095.567402
305,5068.248785
310,5040.915871
315,5013.558937
320,4986.168296
325,4958.734269
330,4931.247151
335,4903.697184
340,4876.074529
345,4848.369231
350,4820.571194
355,4792.670144
360,4764.655599
365,4736.516832
370,4708.242836
375,4679.822283
380,4651.243485
385,4622.494345
390,4593.562311
395,4564.434324
400,4535.096756
405,4505.535352
410,4475.735154
415,4445.680429
420,4415.354581
425,4384.740051
430,4353.818217
435,4322.569268
440,4290.972068
445,4259.004006
450,4226.640815
455,4193.856377
460,4160.622492
465,4126.908617
470,4092.681559
475,4057.905125
480,4022.539711
485,3986.541821
490,3949.863497
495,3912.451656
500,3874.247281
505,3835.184472
510,3795.189283
515,3754.178321
520,3712.057021
525,3668.717517
530,3624.035988
535,3577.869306
540,3530.050769
545,3480.384579
550,3428.638619
555,3374.534807
