Clapeyron Estimator,
[method=saturation_rhov, species=CCCCCCCCCC]
T,out_rhov
245,0.00081605
250,0.0013795
255,0.0022743
260,0.0036629
265,0.0057711
270,0.0089067
275,0.013482
280,0.020037
285,0.029271
290,0.042071
295,0.059548
300,0.083075
305,0.11432
310,0.15529
315,0.20838
320,0.2764
325,0.3626
330,0.47076
335,0.60518
340,0.77074
345,0.97289
350,1.2178
355,1.5121
360,1.8634
365,2.2797
370,2.7701
375,3.344
380,4.012
385,4.7851
390,5.6755
395,6.6959
400,7.8599
405,9.1822
410,10.678
415,12.364
420,14.258
425,16.377
430,18.742
435,21.373
440,24.293
445,27.524
450,31.091
455,35.021
460,39.343
465,44.087
470,49.284
475,54.972
480,61.187
485,67.972
490,75.371
495,83.435
500,92.218
505,101.78
510,112.19
515,123.52
520,135.87
525,149.32
530,163.99
535,180.01
540,197.54
545,216.74
550,237.84
555,261.1
