Clapeyron Estimator,,
[method=u, species=CCCCCCCCCC],
T,p,out_u
260,10000000,1447.6
270,10000000,1405.7
280,10000000,1365.2
290,10000000,1325.9
300,10000000,1287.8
310,10000000,1250.8
320,10000000,1214.8
330,10000000,1179.7
340,10000000,1145.5
350,10000000,1112.1
360,10000000,1079.5
370,10000000,1047.6
380,10000000,1016.4
390,10000000,985.75
400,10000000,955.72
410,10000000,926.25
420,10000000,897.31
430,10000000,868.87
440,10000000,840.91
450,10000000,813.41
460,10000000,786.35
470,10000000,759.73
480,10000000,733.53
490,10000000,707.75
500,10000000,682.39
510,10000000,657.46
520,10000000,632.97
530,10000000,608.92
540,10000000,585.36
550,10000000,562.29
560,10000000,539.77
570,10000000,517.83
580,10000000,496.51
590,10000000,475.88
600,10000000,455.99
610,10000000,436.9
620,10000000,418.66
630,10000000,401.33
640,10000000,384.93
650,10000000,369.51
660,10000000,355.07
670,10000000,341.59
270,30000000,1506.8
280,30000000,1469.2
290,30000000,1432.9
300,30000000,1397.8
310,30000000,1364
320,30000000,1331.2
330,30000000,1299.5
340,30000000,1268.8
350,30000000,1239.1
360,30000000,1210.2
370,30000000,1182.2
380,30000000,1155
390,30000000,1128.6
400,30000000,1102.9
410,30000000,1078
420,30000000,1053.7
430,30000000,1030.1
440,30000000,1007.2
450,30000000,984.87
460,30000000,963.18
470,30000000,942.1
480,30000000,921.61
490,30000000,901.71
500,30000000,882.37
510,30000000,863.61
520,30000000,845.4
530,30000000,827.74
540,30000000,810.64
550,30000000,794.08
560,30000000,778.06
570,30000000,762.57
580,30000000,747.61
590,30000000,733.18
600,30000000,719.28
610,30000000,705.89
620,30000000,693.01
630,30000000,680.63
640,30000000,668.75
650,30000000,657.36
660,30000000,646.45
670,30000000,636
290,50000000,1526.8
300,50000000,1493.8
310,50000000,1462
320,50000000,1431.4
330,50000000,1401.8
340,50000000,1373.3
350,50000000,1345.7
360,50000000,1319.1
370,50000000,1293.4
380,50000000,1268.4
390,50000000,1244.3
400,50000000,1221
410,50000000,1198.4
420,50000000,1176.4
430,50000000,1155.2
440,50000000,1134.7
450,50000000,1114.7
460,50000000,1095.4
470,50000000,1076.7
480,50000000,1058.6
490,50000000,1041
500,50000000,1024
510,50000000,1007.6
520,50000000,991.61
530,50000000,976.17
540,50000000,961.23
550,50000000,946.78
560,50000000,932.8
570,50000000,919.29
580,50000000,906.23
590,50000000,893.61
600,50000000,881.43
610,50000000,869.67
620,50000000,858.33
630,50000000,847.39
640,50000000,836.84
650,50000000,826.67
660,50000000,816.88
670,50000000,807.44
