Clapeyron Estimator
[method=Cp, species=CC]
T,p,out_Cp
150,10000000,69.374
160,10000000,69.951
170,10000000,70.617
180,10000000,71.391
190,10000000,72.292
200,10000000,73.343
210,10000000,74.565
220,10000000,75.984
230,10000000,77.632
240,10000000,79.552
250,10000000,81.799
260,10000000,84.457
270,10000000,87.646
280,10000000,91.545
290,10000000,96.439
300,10000000,102.8
310,10000000,111.44
320,10000000,123.56
330,10000000,139.26
340,10000000,152.44
350,10000000,149.4
360,10000000,133.88
370,10000000,119.11
380,10000000,108.48
390,10000000,101.25
400,10000000,96.368
410,10000000,93.051
420,10000000,90.803
430,10000000,89.302
440,10000000,88.336
450,10000000,87.764
460,10000000,87.486
470,10000000,87.433
480,10000000,87.554
490,10000000,87.813
500,10000000,88.18
510,10000000,88.634
520,10000000,89.159
530,10000000,89.74
540,10000000,90.367
550,10000000,91.032
560,10000000,91.728
570,10000000,92.449
580,10000000,93.189
590,10000000,93.946
600,10000000,94.716
150,30000000,68.303
160,30000000,68.679
170,30000000,69.106
180,30000000,69.595
190,30000000,70.155
200,30000000,70.795
210,30000000,71.521
220,30000000,72.335
230,30000000,73.24
240,30000000,74.234
250,30000000,75.316
260,30000000,76.482
270,30000000,77.727
280,30000000,79.043
290,30000000,80.421
300,30000000,81.85
310,30000000,83.317
320,30000000,84.805
330,30000000,86.296
340,30000000,87.769
350,30000000,89.204
360,30000000,90.576
370,30000000,91.863
380,30000000,93.04
390,30000000,94.089
400,30000000,94.994
410,30000000,95.749
420,30000000,96.359
430,30000000,96.84
440,30000000,97.212
450,30000000,97.5
460,30000000,97.732
470,30000000,97.931
480,30000000,98.116
490,30000000,98.303
500,30000000,98.504
510,30000000,98.727
520,30000000,98.976
530,30000000,99.255
540,30000000,99.565
550,30000000,99.906
560,30000000,100.28
570,30000000,100.68
580,30000000,101.11
590,30000000,101.56
600,30000000,102.04
150,50000000,67.604
160,50000000,67.875
170,50000000,68.181
180,50000000,68.532
190,50000000,68.939
200,50000000,69.406
210,50000000,69.94
220,50000000,70.541
230,50000000,71.211
240,50000000,71.946
250,50000000,72.744
260,50000000,73.6
270,50000000,74.51
280,50000000,75.466
290,50000000,76.463
300,50000000,77.493
310,50000000,78.549
320,50000000,79.625
330,50000000,80.712
340,50000000,81.804
350,50000000,82.895
360,50000000,83.977
370,50000000,85.046
380,50000000,86.097
390,50000000,87.124
400,50000000,88.126
410,50000000,89.099
420,50000000,90.042
430,50000000,90.952
440,50000000,91.831
450,50000000,92.677
460,50000000,93.494
470,50000000,94.282
480,50000000,95.044
490,50000000,95.782
500,50000000,96.501
510,50000000,97.201
520,50000000,97.888
530,50000000,98.562
540,50000000,99.227
550,50000000,99.884
560,50000000,100.54
570,50000000,101.18
580,50000000,101.83
590,50000000,102.47
600,50000000,103.11
