T,P,p,Cv,Cp,u,Phase
150,10,10000000,43.739,69.374,1632.6,liquid
160,10,10000000,43.578,69.951,1563.7,liquid
170,10,10000000,43.5,70.617,1494.6,liquid
180,10,10000000,43.507,71.391,1425.5,liquid
190,10,10000000,43.601,72.292,1356.2,liquid
200,10,10000000,43.786,73.343,1286.7,liquid
210,10,10000000,44.062,74.565,1217.2,liquid
220,10,10000000,44.432,75.984,1147.5,liquid
230,10,10000000,44.893,77.632,1077.6,liquid
240,10,10000000,45.447,79.552,1007.6,liquid
250,10,10000000,46.092,81.799,937.43,liquid
260,10,10000000,46.829,84.457,866.92,liquid
270,10,10000000,47.659,87.646,795.96,liquid
280,10,10000000,48.589,91.545,724.4,liquid
290,10,10000000,49.63,96.439,652.16,liquid
300,10,10000000,50.799,102.8,579.32,liquid
310,10,10000000,52.12,111.44,506.34,supercritical
320,10,10000000,53.607,123.56,434.79,supercritical
330,10,10000000,55.233,139.26,369.55,supercritical
340,10,10000000,56.784,152.44,319.9,supercritical
350,10,10000000,57.804,149.4,293.79,supercritical
360,10,10000000,58.354,133.88,286.76,supercritical
370,10,10000000,58.834,119.11,289.09,supercritical
380,10,10000000,59.403,108.48,295.16,supercritical
390,10,10000000,60.088,101.25,302.58,supercritical
400,10,10000000,60.88,96.368,310.38,supercritical
410,10,10000000,61.759,93.051,318.16,supercritical
420,10,10000000,62.705,90.803,325.76,supercritical
430,10,10000000,63.7,89.302,333.12,supercritical
440,10,10000000,64.731,88.336,340.21,supercritical
450,10,10000000,65.787,87.764,347.04,supercritical
460,10,10000000,66.861,87.486,353.62,supercritical
470,10,10000000,67.946,87.433,359.97,supercritical
480,10,10000000,69.037,87.554,366.1,supercritical
490,10,10000000,70.132,87.813,372.03,supercritical
500,10,10000000,71.226,88.18,377.77,supercritical
510,10,10000000,72.318,88.634,383.34,supercritical
520,10,10000000,73.405,89.159,388.75,supercritical
530,10,10000000,74.487,89.74,394.01,supercritical
540,10,10000000,75.563,90.367,399.13,supercritical
550,10,10000000,76.63,91.032,404.12,supercritical
560,10,10000000,77.69,91.728,408.99,supercritical
570,10,10000000,78.741,92.449,413.74,supercritical
580,10,10000000,79.782,93.189,418.4,supercritical
590,10,10000000,80.814,93.946,422.95,supercritical
600,10,10000000,81.836,94.716,427.41,supercritical
150,30,30000000,44.445,68.303,1733.8,liquid
160,30,30000000,44.302,68.679,1672.5,liquid
170,30,30000000,44.237,69.106,1611.8,liquid
180,30,30000000,44.251,69.595,1551.7,liquid
190,30,30000000,44.348,70.155,1492.3,liquid
200,30,30000000,44.528,70.795,1433.6,liquid
210,30,30000000,44.793,71.521,1375.8,liquid
220,30,30000000,45.143,72.335,1318.8,liquid
230,30,30000000,45.575,73.24,1262.9,liquid
240,30,30000000,46.087,74.234,1208.1,liquid
250,30,30000000,46.675,75.316,1154.5,liquid
260,30,30000000,47.337,76.482,1102.3,liquid
270,30,30000000,48.067,77.727,1051.5,liquid
280,30,30000000,48.861,79.043,1002.4,liquid
