Clapeyron Estimator
[method=rhol, species=CC]
T,p,out_rhol
150,10000000,19667.61899
160,10000000,19303.75312
170,10000000,18934.86464
180,10000000,18559.80528
190,10000000,18177.26131
200,10000000,17785.72003
210,10000000,17383.42155
220,10000000,16968.28937
230,10000000,16537.82994
240,10000000,16088.98569
250,10000000,15617.91683
260,10000000,15119.67351
270,10000000,14587.69806
280,10000000,14013.06089
290,10000000,13383.26561
300,10000000,12680.28881
310,10000000,11877.20986
320,10000000,10934.05592
330,10000000,9806.279363
340,10000000,8509.85633
350,10000000,7236.120922
360,10000000,6218.488663
370,10000000,5478.317715
380,10000000,4935.986467
390,10000000,4523.518456
400,10000000,4197.72783
410,10000000,3932.103908
420,10000000,3709.944804
430,10000000,3520.309972
440,10000000,3355.749654
450,10000000,3211.010759
460,10000000,3082.274414
470,10000000,2966.690145
480,10000000,2862.081197
490,10000000,2766.752054
500,10000000,2679.359042
150,30000000,20033.77486
160,30000000,19703.99198
170,30000000,19373.24547
180,30000000,19041.09188
190,30000000,18707.07055
200,30000000,18370.71216
210,30000000,18031.54594
220,30000000,17689.10625
230,30000000,17342.93909
240,30000000,16992.60936
250,30000000,16637.70962
260,30000000,16277.87118
270,30000000,15912.7789
280,30000000,15542.19067
290,30000000,15165.96303
300,30000000,14784.08335
310,30000000,14396.70765
320,30000000,14004.20135
330,30000000,13607.17737
340,30000000,13206.52564
350,30000000,12803.42901
360,30000000,12399.36438
370,30000000,11996.08952
380,30000000,11595.61242
390,30000000,11200.13378
400,30000000,10811.95274
410,30000000,10433.33812
420,30000000,10066.38362
430,30000000,9712.875108
440,30000000,9374.195208
450,30000000,9051.278722
460,30000000,8744.61915
470,30000000,8454.315206
480,30000000,8180.140855
490,30000000,7921.622839
500,30000000,7678.114001
150,50000000,20353.05587
160,50000000,20048.06523
170,50000000,19744.16789
180,50000000,19441.13967
190,50000000,19138.7574
200,50000000,18836.80885
210,50000000,18535.1003
220,50000000,18233.46238
230,50000000,17931.75482
240,50000000,17629.87037
250,50000000,17327.73833
260,50000000,17025.32765
270,50000000,16722.64982
280,50000000,16419.76147
290,50000000,16116.7666
300,50000000,15813.81853
310,50000000,15511.12101
320,50000000,15208.92864
330,50000000,14907.54593
340,50000000,14607.32491
350,50000000,14308.66104
360,50000000,14011.98718
370,50000000,13717.766
380,50000000,13426.48098
390,50000000,13138.62657
400,50000000,12854.69809
410,50000000,12575.1816
420,50000000,12300.54434
430,50000000,12031.22566
440,50000000,11767.62864
450,50000000,11510.11279
460,50000000,11258.98776
470,50000000,11014.50881
480,50000000,10776.8739
490,50000000,10546.22298
500,50000000,10322.6391
