Clapeyron Estimator
[method=saturation_p, species=CC]
T,out_p
125,692.2019944
130,1283.917796
135,2263.282648
140,3813.556439
145,6172.472255
150,9637.999312
155,14572.51219
160,21405.22408
165,30632.8928
170,42818.92637
175,58591.09836
180,78638.13697
185,103705.4821
190,134590.5159
195,172137.5637
200,217232.9407
205,270800.2785
210,333796.3262
215,407207.3705
220,492046.3883
225,589351.0139
230,700182.3998
235,825625.0562
240,966787.7851
245,1124805.879
250,1300844.849
255,1496106.128
260,1711835.438
265,1949334.814
270,2209979.675
275,2495243.523
