Clapeyron Estimator
[method=saturation_rhol, species=CC]
T,out_rhol
125,20399.85016
130,20214.47942
135,20028.04176
140,19840.39262
145,19651.37997
150,19460.84204
155,19268.60562
160,19074.48465
165,18878.27881
170,18679.77201
175,18478.73062
180,18274.9014
185,18068.00896
190,17857.75269
195,17643.803
200,17425.79669
205,17203.33122
210,16975.95753
215,16743.17094
220,16504.39953
225,16258.9891
230,16006.18337
235,15745.09762
240,15474.68323
245,15193.67889
250,14900.543
255,14593.35877
260,14269.69961
265,13926.43047
270,13559.38749
275,13162.80893
