Clapeyron Estimator,,
[method=u, species=CC],
T,p,out_u
150,10000000,1632.6
160,10000000,1563.7
170,10000000,1494.6
180,10000000,1425.5
190,10000000,1356.2
200,10000000,1286.7
210,10000000,1217.2
220,10000000,1147.5
230,10000000,1077.6
240,10000000,1007.6
250,10000000,937.43
260,10000000,866.92
270,10000000,795.96
280,10000000,724.4
290,10000000,652.16
300,10000000,579.32
310,10000000,506.34
320,10000000,434.79
330,10000000,369.55
340,10000000,319.9
350,10000000,293.79
360,10000000,286.76
370,10000000,289.09
380,10000000,295.16
390,10000000,302.58
400,10000000,310.38
410,10000000,318.16
420,10000000,325.76
430,10000000,333.12
440,10000000,340.21
450,10000000,347.04
460,10000000,353.62
470,10000000,359.97
480,10000000,366.1
490,10000000,372.03
500,10000000,377.77
510,10000000,383.34
520,10000000,388.75
530,10000000,394.01
540,10000000,399.13
550,10000000,404.12
560,10000000,408.99
570,10000000,413.74
580,10000000,418.4
590,10000000,422.95
600,10000000,427.41
150,30000000,1733.8
160,30000000,1672.5
170,30000000,1611.8
180,30000000,1551.7
190,30000000,1492.3
200,30000000,1433.6
210,30000000,1375.8
220,30000000,1318.8
230,30000000,1262.9
240,30000000,1208.1
250,30000000,1154.5
260,30000000,1102.3
270,30000000,1051.5
280,30000000,1002.4
290,30000000,954.94
300,30000000,909.38
310,30000000,865.85
320,30000000,824.49
330,30000000,785.46
340,30000000,748.9
350,30000000,714.92
360,30000000,683.61
370,30000000,655.02
380,30000000,629.18
390,30000000,606.09
400,30000000,585.71
410,30000000,567.97
420,30000000,552.74
430,30000000,539.84
440,30000000,529.09
450,30000000,520.27
460,30000000,513.16
470,30000000,507.55
480,30000000,503.25
490,30000000,500.08
500,30000000,497.87
510,30000000,496.48
520,30000000,495.8
530,30000000,495.72
540,30000000,496.14
550,30000000,497
560,30000000,498.22
570,30000000,499.75
580,30000000,501.54
590,30000000,503.56
600,30000000,505.75
150,50000000,1821.3
160,50000000,1765.3
170,50000000,1710.1
180,50000000,1655.8
190,50000000,1602.5
200,50000000,1550.2
210,50000000,1499
220,50000000,1448.9
230,50000000,1400
240,50000000,1352.4
250,50000000,1306.2
260,50000000,1261.3
270,50000000,1217.9
280,50000000,1176.1
290,50000000,1135.9
300,50000000,1097.3
310,50000000,1060.4
320,50000000,1025.3
330,50000000,991.96
340,50000000,960.39
350,50000000,930.62
360,50000000,902.63
370,50000000,876.43
380,50000000,851.97
390,50000000,829.24
400,50000000,808.17
410,50000000,788.73
420,50000000,770.85
430,50000000,754.46
440,50000000,739.5
450,50000000,725.9
460,50000000,713.59
470,50000000,702.48
480,50000000,692.52
490,50000000,683.61
500,50000000,675.68
510,50000000,668.67
520,50000000,662.49
530,50000000,657.08
540,50000000,652.38
550,50000000,648.32
560,50000000,644.84
570,50000000,641.89
580,50000000,639.43
590,50000000,637.41
600,50000000,635.78
