Clapeyron Estimator
[method=Cp, species=CCCCCCC]
T,p,out_Cp
190,10000000,199.37
200,10000000,199.82
210,10000000,200.71
220,10000000,202.04
230,10000000,203.77
240,10000000,205.88
250,10000000,208.31
260,10000000,211.04
270,10000000,214.02
280,10000000,217.22
290,10000000,220.62
300,10000000,224.16
310,10000000,227.84
320,10000000,231.63
330,10000000,235.51
340,10000000,239.46
350,10000000,243.47
360,10000000,247.52
370,10000000,251.6
380,10000000,255.72
390,10000000,259.85
400,10000000,264
410,10000000,268.17
420,10000000,272.36
430,10000000,276.56
440,10000000,280.79
450,10000000,285.04
460,10000000,289.33
470,10000000,293.66
480,10000000,298.04
490,10000000,302.47
500,10000000,306.97
510,10000000,311.54
520,10000000,316.18
530,10000000,320.9
540,10000000,325.67
550,10000000,330.47
560,10000000,335.27
570,10000000,340.01
580,10000000,344.62
590,10000000,349.03
600,10000000,353.16
200,30000000,199.42
210,30000000,200.2
220,30000000,201.4
230,30000000,203
240,30000000,204.95
250,30000000,207.24
260,30000000,209.8
270,30000000,212.61
280,30000000,215.63
290,30000000,218.83
300,30000000,222.17
310,30000000,225.63
320,30000000,229.19
330,30000000,232.82
340,30000000,236.5
350,30000000,240.21
360,30000000,243.95
370,30000000,247.69
380,30000000,251.44
390,30000000,255.17
400,30000000,258.88
410,30000000,262.57
420,30000000,266.22
430,30000000,269.84
440,30000000,273.42
450,30000000,276.96
460,30000000,280.46
470,30000000,283.91
480,30000000,287.31
490,30000000,290.67
500,30000000,293.98
510,30000000,297.24
520,30000000,300.46
530,30000000,303.62
540,30000000,306.73
550,30000000,309.8
560,30000000,312.81
570,30000000,315.77
580,30000000,318.68
590,30000000,321.53
600,30000000,324.33
220,50000000,201.1
230,50000000,202.61
240,50000000,204.48
250,50000000,206.67
260,50000000,209.14
270,50000000,211.85
280,50000000,214.77
290,50000000,217.87
300,50000000,221.11
310,50000000,224.47
320,50000000,227.92
330,50000000,231.45
340,50000000,235.02
350,50000000,238.63
360,50000000,242.25
370,50000000,245.89
380,50000000,249.51
390,50000000,253.13
400,50000000,256.72
410,50000000,260.28
420,50000000,263.81
430,50000000,267.31
440,50000000,270.76
450,50000000,274.17
460,50000000,277.53
470,50000000,280.85
480,50000000,284.12
490,50000000,287.34
500,50000000,290.51
510,50000000,293.64
520,50000000,296.71
530,50000000,299.74
540,50000000,302.72
550,50000000,305.66
560,50000000,308.55
570,50000000,311.39
580,50000000,314.19
590,50000000,316.95
600,50000000,319.66
