Clapeyron Estimator,
[method=Cv, species=CCCCCCC]
T,P,p,out_Cv
190,10,10000000,153.66
200,10,10000000,154.32
210,10,10000000,155.39
220,10,10000000,156.86
230,10,10000000,158.69
240,10,10000000,160.87
250,10,10000000,163.34
260,10,10000000,166.08
270,10,10000000,169.04
280,10,10000000,172.2
290,10,10000000,175.52
300,10,10000000,178.98
310,10,10000000,182.55
320,10,10000000,186.21
330,10,10000000,189.94
340,10,10000000,193.73
350,10,10000000,197.55
360,10,10000000,201.39
370,10,10000000,205.25
380,10,10000000,209.11
390,10,10000000,212.97
400,10,10000000,216.81
410,10,10000000,220.63
420,10,10000000,224.42
430,10,10000000,228.19
440,10,10000000,231.92
450,10,10000000,235.61
460,10,10000000,239.27
470,10,10000000,242.88
480,10,10000000,246.46
490,10,10000000,249.99
500,10,10000000,253.48
510,10,10000000,256.94
520,10,10000000,260.36
530,10,10000000,263.74
540,10,10000000,267.08
550,10,10000000,270.39
560,10,10000000,273.65
570,10,10000000,276.88
580,10,10000000,280.05
590,10,10000000,283.18
600,10,10000000,286.24
200,30,30000000,155.59
210,30,30000000,156.65
220,30,30000000,158.11
230,30,30000000,159.93
240,30,30000000,162.09
250,30,30000000,164.54
260,30,30000000,167.26
270,30,30000000,170.2
280,30,30000000,173.34
290,30,30000000,176.64
300,30,30000000,180.09
310,30,30000000,183.64
320,30,30000000,187.28
330,30,30000000,191
340,30,30000000,194.76
350,30,30000000,198.57
360,30,30000000,202.39
370,30,30000000,206.23
380,30,30000000,210.07
390,30,30000000,213.89
400,30,30000000,217.71
410,30,30000000,221.49
420,30,30000000,225.25
430,30,30000000,228.98
440,30,30000000,232.66
450,30,30000000,236.31
460,30,30000000,239.92
470,30,30000000,243.48
480,30,30000000,246.99
490,30,30000000,250.46
500,30,30000000,253.88
510,30,30000000,257.26
520,30,30000000,260.59
530,30,30000000,263.87
540,30,30000000,267.1
550,30,30000000,270.29
560,30,30000000,273.43
570,30,30000000,276.53
580,30,30000000,279.58
590,30,30000000,282.58
600,30,30000000,285.55
220,50,50000000,159.28
230,50,50000000,161.08
240,50,50000000,163.23
250,50,50000000,165.66
260,50,50000000,168.37
270,50,50000000,171.3
280,50,50000000,174.42
290,50,50000000,177.72
300,50,50000000,181.15
310,50,50000000,184.7
320,50,50000000,188.34
330,50,50000000,192.05
340,50,50000000,195.82
350,50,50000000,199.62
360,50,50000000,203.44
370,50,50000000,207.28
380,50,50000000,211.12
390,50,50000000,214.94
400,50,50000000,218.75
410,50,50000000,222.54
420,50,50000000,226.29
430,50,50000000,230.01
440,50,50000000,233.7
450,50,50000000,237.34
460,50,50000000,240.95
470,50,50000000,244.5
480,50,50000000,248.02
490,50,50000000,251.48
500,50,50000000,254.9
510,50,50000000,258.28
520,50,50000000,261.6
530,50,50000000,264.88
540,50,50000000,268.12
550,50,50000000,271.31
560,50,50000000,274.45
570,50,50000000,277.56
580,50,50000000,280.61
590,50,50000000,283.63
600,50,50000000,286.6
