Clapeyron Estimator
[method=rhol, species=CCCCCCC]
T,p,out_rhol
198,10000000,7662.1
208,10000000,7581.6
218,10000000,7501.9
228,10000000,7422.8
238,10000000,7344.2
248,10000000,7265.8
258,10000000,7187.7
268,10000000,7109.6
278,10000000,7031.5
288,10000000,6953.2
298,10000000,6874.7
308,10000000,6795.9
318,10000000,6716.7
328,10000000,6637
338,10000000,6556.7
348,10000000,6475.6
358,10000000,6393.8
368,10000000,6311.1
378,10000000,6227.4
388,10000000,6142.7
398,10000000,6056.7
408,10000000,5969.4
418,10000000,5880.7
428,10000000,5790.4
438,10000000,5698.3
448,10000000,5604.3
458,10000000,5508.3
468,10000000,5409.9
478,10000000,5309
488,10000000,5205.4
498,10000000,5098.8
508,10000000,4988.8
518,10000000,4875.3
528,10000000,4758.1
538,10000000,4636.7
548,10000000,4511.2
208,30000000,7678.2
218,30000000,7603.5
228,30000000,7529.7
238,30000000,7456.8
248,30000000,7384.4
258,30000000,7312.7
268,30000000,7241.4
278,30000000,7170.6
288,30000000,7100.1
298,30000000,7029.9
308,30000000,6960
318,30000000,6890.3
328,30000000,6820.7
338,30000000,6751.2
348,30000000,6681.9
358,30000000,6612.6
368,30000000,6543.3
378,30000000,6474.1
388,30000000,6404.9
398,30000000,6335.6
408,30000000,6266.4
418,30000000,6197.1
428,30000000,6127.7
438,30000000,6058.3
448,30000000,5988.9
458,30000000,5919.4
468,30000000,5849.9
478,30000000,5780.3
488,30000000,5710.6
498,30000000,5640.9
508,30000000,5571.2
518,30000000,5501.5
528,30000000,5431.8
538,30000000,5362
548,30000000,5292.4
218,50000000,7694.5
228,50000000,7624.9
238,50000000,7556.2
248,50000000,7488.3
258,50000000,7421.3
268,50000000,7354.9
278,50000000,7289.2
288,50000000,7224.2
298,50000000,7159.6
308,50000000,7095.6
318,50000000,7032
328,50000000,6968.9
338,50000000,6906.2
348,50000000,6843.9
358,50000000,6781.9
368,50000000,6720.4
378,50000000,6659.1
388,50000000,6598.3
398,50000000,6537.7
408,50000000,6477.5
418,50000000,6417.6
428,50000000,6358
438,50000000,6298.8
448,50000000,6239.9
458,50000000,6181.3
468,50000000,6123
478,50000000,6065.1
488,50000000,6007.5
498,50000000,5950.2
508,50000000,5893.3
518,50000000,5836.7
528,50000000,5780.5
538,50000000,5724.6
548,50000000,5669.1
