Clapeyron Estimator
[method=saturation_p, species=CCCCCCC]
T,out_p
201,2.44E+00
206,4.53E+00
211,8.15E+00
216,1.42E+01
221,2.40E+01
226,3.95E+01
231,6.33E+01
236,9.92E+01
241,1.52E+02
246,2.28E+02
251,3.36E+02
256,486.1752795
261,691.3059373
266,967.5135811
271,1334.053553
276,1813.876438
281,2434.001516
286,3225.873472
291,4225.695483
296,5474.732631
301,7019.580615
306,8912.39593
311,11211.08487
316,13979.44993
321,17287.29346
326,21210.47938
331,25830.95488
336,31236.7349
341,37521.85272
346,44786.28094
351,53135.82709
356,62682.00874
361,73541.91305
366,85838.04569
371,99698.17413
376,115255.17
381,132646.8556
386,152015.8583
391,173509.4784
396,197279.5737
401,223482.4653
406,252278.8695
411,283833.8581
416,318316.8541
421,355901.6632
426,396766.549
431,441094.3522
436,489072.6624
441,540894.0461
446,596756.339
451,656863.0144
456,721423.6418
