Clapeyron Estimator
[method=saturation_rhol, species=CCCCCCC]
T,out_rhol
201,7587.154405
206,7545.508799
211,7504.000764
216,7462.608262
221,7421.309871
226,7380.084694
231,7338.912285
236,7297.772584
241,7256.645858
246,7215.512661
251,7174.353779
256,7133.150197
261,7091.883047
266,7050.533576
271,7009.083093
276,6967.51293
281,6925.804385
286,6883.938678
291,6841.89689
296,6799.659905
301,6757.20835
306,6714.522525
311,6671.582331
316,6628.367195
321,6584.855989
326,6541.026939
331,6496.85753
336,6452.324404
341,6407.403243
346,6362.06865
351,6316.294006
356,6270.051322
361,6223.311069
366,6176.041985
371,6128.210867
376,6079.782323
381,6030.718503
386,5980.978779
391,5930.51939
396,5879.293021
401,5827.24832
406,5774.329337
411,5720.474851
416,5665.617589
421,5609.683279
426,5552.589519
431,5494.244402
436,5434.544839
441,5373.374486
446,5310.601193
451,5246.073795
456,5179.618082
