Clapeyron Estimator,,
[method=u, species=CCCCCCC],
T,p,out_u
190,10000000,1671
200,10000000,1625.1
210,10000000,1579.6
220,10000000,1534.6
230,10000000,1490.1
240,10000000,1446.2
250,10000000,1402.8
260,10000000,1360.1
270,10000000,1318.1
280,10000000,1276.7
290,10000000,1236
300,10000000,1196
310,10000000,1156.6
320,10000000,1118
330,10000000,1080
340,10000000,1042.7
350,10000000,1006
360,10000000,970.02
370,10000000,934.67
380,10000000,899.97
390,10000000,865.91
400,10000000,832.46
410,10000000,799.63
420,10000000,767.4
430,10000000,735.76
440,10000000,704.69
450,10000000,674.19
460,10000000,644.25
470,10000000,614.86
480,10000000,586.03
490,10000000,557.76
500,10000000,530.08
510,10000000,503.03
520,10000000,476.69
530,10000000,451.13
540,10000000,426.49
550,10000000,402.89
560,10000000,380.49
570,10000000,359.45
580,10000000,339.92
590,10000000,322.03
600,10000000,305.83
200,30000000,1704.6
210,30000000,1662.7
220,30000000,1621.3
230,30000000,1580.7
240,30000000,1540.8
250,30000000,1501.5
260,30000000,1463.1
270,30000000,1425.4
280,30000000,1388.6
290,30000000,1352.5
300,30000000,1317.2
310,30000000,1282.8
320,30000000,1249.2
330,30000000,1216.3
340,30000000,1184.3
350,30000000,1153.1
360,30000000,1122.7
370,30000000,1093
380,30000000,1064.2
390,30000000,1036.2
400,30000000,1008.9
410,30000000,982.42
420,30000000,956.69
430,30000000,931.72
440,30000000,907.49
450,30000000,883.99
460,30000000,861.21
470,30000000,839.15
480,30000000,817.78
490,30000000,797.11
500,30000000,777.12
510,30000000,757.8
520,30000000,739.15
530,30000000,721.16
540,30000000,703.81
550,30000000,687.11
560,30000000,671.06
570,30000000,655.63
580,30000000,640.84
590,30000000,626.68
600,30000000,613.14
220,50000000,1698.9
230,50000000,1661
240,50000000,1624
250,50000000,1587.7
260,50000000,1552.2
270,50000000,1517.5
280,50000000,1483.6
290,50000000,1450.6
300,50000000,1418.4
310,50000000,1387
320,50000000,1356.4
330,50000000,1326.7
340,50000000,1297.7
350,50000000,1269.6
360,50000000,1242.3
370,50000000,1215.7
380,50000000,1190
390,50000000,1165
400,50000000,1140.8
410,50000000,1117.3
420,50000000,1094.6
430,50000000,1072.6
440,50000000,1051.3
450,50000000,1030.6
460,50000000,1010.7
470,50000000,991.36
480,50000000,972.7
490,50000000,954.66
500,50000000,937.23
510,50000000,920.39
520,50000000,904.13
530,50000000,888.42
540,50000000,873.27
550,50000000,858.64
560,50000000,844.54
570,50000000,830.93
580,50000000,817.82
590,50000000,805.19
600,50000000,793.02
