Clapeyron Estimator
[method=Cp, species=CCCCCC]
T,p,out_Cp
190,10000000,169.91
200,10000000,170.85
210,10000000,172.08
220,10000000,173.59
230,10000000,175.39
240,10000000,177.46
250,10000000,179.78
260,10000000,182.34
270,10000000,185.11
280,10000000,188.08
290,10000000,191.22
300,10000000,194.52
310,10000000,197.94
320,10000000,201.48
330,10000000,205.11
340,10000000,208.82
350,10000000,212.6
360,10000000,216.44
370,10000000,220.33
380,10000000,224.25
390,10000000,228.22
400,10000000,232.23
410,10000000,236.27
420,10000000,240.36
430,10000000,244.49
440,10000000,248.68
450,10000000,252.94
460,10000000,257.27
470,10000000,261.69
480,10000000,266.23
490,10000000,270.88
500,10000000,275.67
510,10000000,280.6
520,10000000,285.64
530,10000000,290.77
540,10000000,295.92
550,10000000,300.97
560,10000000,305.76
570,10000000,310.1
580,10000000,313.75
590,10000000,316.52
600,10000000,318.29
200,30000000,170.13
210,30000000,171.24
220,30000000,172.63
230,30000000,174.29
240,30000000,176.21
250,30000000,178.38
260,30000000,180.77
270,30000000,183.37
280,30000000,186.14
290,30000000,189.07
300,30000000,192.14
310,30000000,195.31
320,30000000,198.58
330,30000000,201.92
340,30000000,205.3
350,30000000,208.73
360,30000000,212.17
370,30000000,215.63
380,30000000,219.08
390,30000000,222.51
400,30000000,225.93
410,30000000,229.32
420,30000000,232.67
430,30000000,235.99
440,30000000,239.26
450,30000000,242.48
460,30000000,245.66
470,30000000,248.78
480,30000000,251.86
490,30000000,254.87
500,30000000,257.83
510,30000000,260.74
520,30000000,263.59
530,30000000,266.38
540,30000000,269.11
550,30000000,271.78
560,30000000,274.4
570,30000000,276.95
580,30000000,279.45
590,30000000,281.88
600,30000000,284.25
210,50000000,170.74
220,50000000,172.05
230,50000000,173.63
240,50000000,175.47
250,50000000,177.55
260,50000000,179.85
270,50000000,182.35
280,50000000,185.03
290,50000000,187.86
300,50000000,190.83
310,50000000,193.9
320,50000000,197.06
330,50000000,200.28
340,50000000,203.55
350,50000000,206.85
360,50000000,210.18
370,50000000,213.5
380,50000000,216.82
390,50000000,220.13
400,50000000,223.41
410,50000000,226.66
420,50000000,229.87
430,50000000,233.04
440,50000000,236.17
450,50000000,239.25
460,50000000,242.28
470,50000000,245.26
480,50000000,248.18
490,50000000,251.05
500,50000000,253.87
510,50000000,256.64
520,50000000,259.35
530,50000000,262.01
540,50000000,264.62
550,50000000,267.18
560,50000000,269.69
570,50000000,272.15
580,50000000,274.57
590,50000000,276.94
600,50000000,279.26
