Clapeyron Estimator,
[method=Cv, species=CCCCCC]
T,P,p,out_Cv,Phase
190,10,10000000,130.43,liquid
200,10,10000000,131.13,liquid
210,10,10000000,132.12,liquid
220,10,10000000,133.4,liquid
230,10,10000000,134.96,liquid
240,10,10000000,136.79,liquid
250,10,10000000,138.87,liquid
260,10,10000000,141.19,liquid
270,10,10000000,143.72,liquid
280,10,10000000,146.44,liquid
290,10,10000000,149.32,liquid
300,10,10000000,152.35,liquid
310,10,10000000,155.49,liquid
320,10,10000000,158.74,liquid
330,10,10000000,162.06,liquid
340,10,10000000,165.44,liquid
350,10,10000000,168.87,liquid
360,10,10000000,172.32,liquid
370,10,10000000,175.8,liquid
380,10,10000000,179.28,liquid
390,10,10000000,182.76,liquid
400,10,10000000,186.22,liquid
410,10,10000000,189.68,liquid
420,10,10000000,193.1,liquid
430,10,10000000,196.51,liquid
440,10,10000000,199.88,liquid
450,10,10000000,203.22,liquid
460,10,10000000,206.53,liquid
470,10,10000000,209.8,liquid
480,10,10000000,213.05,liquid
490,10,10000000,216.26,liquid
500,10,10000000,219.43,liquid
510,10,10000000,222.56,supercritical
520,10,10000000,225.64,supercritical
530,10,10000000,228.69,supercritical
540,10,10000000,231.69,supercritical
550,10,10000000,234.64,supercritical
560,10,10000000,237.54,supercritical
570,10,10000000,240.37,supercritical
580,10,10000000,243.12,supercritical
590,10,10000000,245.77,supercritical
600,10,10000000,248.33,supercritical
200,30,30000000,132.19,liquid
210,30,30000000,133.18,liquid
220,30,30000000,134.46,liquid
230,30,30000000,136.01,liquid
240,30,30000000,137.83,liquid
250,30,30000000,139.9,liquid
260,30,30000000,142.21,liquid
270,30,30000000,144.72,liquid
280,30,30000000,147.42,liquid
290,30,30000000,150.29,liquid
300,30,30000000,153.29,liquid
310,30,30000000,156.42,liquid
320,30,30000000,159.64,liquid
330,30,30000000,162.93,liquid
340,30,30000000,166.29,liquid
350,30,30000000,169.68,liquid
360,30,30000000,173.1,liquid
370,30,30000000,176.54,liquid
380,30,30000000,179.98,liquid
390,30,30000000,183.41,liquid
400,30,30000000,186.83,liquid
410,30,30000000,190.22,liquid
420,30,30000000,193.59,liquid
430,30,30000000,196.92,liquid
440,30,30000000,200.22,liquid
450,30,30000000,203.48,liquid
460,30,30000000,206.7,liquid
470,30,30000000,209.87,liquid
480,30,30000000,212.99,liquid
490,30,30000000,216.07,liquid
500,30,30000000,219.1,liquid
510,30,30000000,222.09,supercritical
520,30,30000000,225.03,supercritical
530,30,30000000,227.92,supercritical
540,30,30000000,230.76,supercritical
550,30,30000000,233.55,supercritical
560,30,30000000,236.3,supercritical
570,30,30000000,239.01,supercritical
580,30,30000000,241.67,supercritical
590,30,30000000,244.29,supercritical
600,30,30000000,246.86,supercritical
210,50,50000000,134.16,liquid
220,50,50000000,135.43,liquid
230,50,50000000,136.98,liquid
240,50,50000000,138.79,liquid
250,50,50000000,140.86,liquid
260,50,50000000,143.16,liquid
270,50,50000000,145.67,liquid
280,50,50000000,148.36,liquid
290,50,50000000,151.22,liquid
300,50,50000000,154.22,liquid
310,50,50000000,157.34,liquid
320,50,50000000,160.56,liquid
330,50,50000000,163.85,liquid
340,50,50000000,167.19,liquid
350,50,50000000,170.58,liquid
360,50,50000000,174,liquid
370,50,50000000,177.43,liquid
380,50,50000000,180.86,liquid
390,50,50000000,184.29,liquid
400,50,50000000,187.7,liquid
410,50,50000000,191.09,liquid
420,50,50000000,194.45,liquid
430,50,50000000,197.78,liquid
440,50,50000000,201.07,liquid
450,50,50000000,204.33,liquid
460,50,50000000,207.54,liquid
470,50,50000000,210.71,liquid
480,50,50000000,213.83,liquid
490,50,50000000,216.9,liquid
500,50,50000000,219.93,liquid
510,50,50000000,222.92,supercritical
520,50,50000000,225.85,supercritical
530,50,50000000,228.75,supercritical
540,50,50000000,231.59,supercritical
550,50,50000000,234.39,supercritical
560,50,50000000,237.15,supercritical
570,50,50000000,239.86,supercritical
580,50,50000000,242.53,supercritical
590,50,50000000,245.15,supercritical
600,50,50000000,247.74,supercritical
