T,P,p,Cv,Cp,u,Phase
200,0.1,100000,130.56,171.37,1544.6,liquid
210,0.1,100000,131.55,172.68,1495.6,liquid
220,0.1,100000,132.83,174.3,1446.7,liquid
230,0.1,100000,134.4,176.2,1398.2,liquid
240,0.1,100000,136.23,178.38,1350,liquid
250,0.1,100000,138.33,180.83,1302.1,liquid
260,0.1,100000,140.66,183.53,1254.7,liquid
270,0.1,100000,143.2,186.47,1207.7,liquid
280,0.1,100000,145.94,189.62,1161.2,liquid
290,0.1,100000,148.85,192.97,1115.1,liquid
300,0.1,100000,151.9,196.5,1069.5,liquid
310,0.1,100000,155.07,200.2,1024.4,liquid
320,0.1,100000,158.35,204.06,979.55,liquid
330,0.1,100000,161.71,208.06,935.06,liquid
340,0.1,100000,165.13,212.21,890.83,liquid
341.45,0.1,100000,165.63,212.82,884.44,liquid
341.45,0.1,100000,153.51,164.22,178.41,vapor
350,0.1,100000,156.78,167.23,181.24,vapor
360,0.1,100000,160.61,170.81,184.43,vapor
370,0.1,100000,164.43,174.42,187.51,vapor
380,0.1,100000,168.23,178.04,190.49,vapor
390,0.1,100000,172.01,181.66,193.39,vapor
400,0.1,100000,175.76,185.28,196.21,vapor
410,0.1,100000,179.47,188.88,198.96,vapor
420,0.1,100000,183.15,192.45,201.65,vapor
430,0.1,100000,186.77,195.98,204.28,vapor
440,0.1,100000,190.35,199.49,206.86,vapor
450,0.1,100000,193.88,202.95,209.39,vapor
460,0.1,100000,197.36,206.37,211.88,vapor
470,0.1,100000,200.79,209.75,214.32,vapor
480,0.1,100000,204.17,213.07,216.73,vapor
490,0.1,100000,207.48,216.35,219.1,vapor
500,0.1,100000,210.75,219.58,221.44,vapor
510,0.1,100000,213.95,222.75,223.75,vapor
520,0.1,100000,217.11,225.87,226.02,vapor
530,0.1,100000,220.21,228.95,228.27,vapor
540,0.1,100000,223.26,231.97,230.49,vapor
550,0.1,100000,226.26,234.95,232.68,vapor
560,0.1,100000,229.2,237.87,234.85,vapor
570,0.1,100000,232.1,240.75,237,vapor
580,0.1,100000,234.95,243.58,239.12,vapor
590,0.1,100000,237.75,246.37,241.22,vapor
600,0.1,100000,240.5,249.1,243.3,vapor
