Clapeyron Estimator
[method=rhol, species=CCCCCC]
T,p,out_rhol
193,10000000,8711.669847
198,10000000,8664.4686
203,10000000,8617.359673
208,10000000,8570.324514
213,10000000,8523.345564
218,10000000,8476.40611
223,10000000,8429.49016
228,10000000,8382.582336
233,10000000,8335.667774
238,10000000,8288.732049
243,10000000,8241.761092
248,10000000,8194.741131
253,10000000,8147.658625
258,10000000,8100.500214
263,10000000,8053.252664
268,10000000,8005.902824
273,10000000,7958.43758
278,10000000,7910.843814
283,10000000,7863.108363
288,10000000,7815.217984
293,10000000,7767.159312
298,10000000,7718.918828
303,10000000,7670.482818
308,10000000,7621.837336
313,10000000,7572.96817
318,10000000,7523.860801
323,10000000,7474.50036
328,10000000,7424.871593
333,10000000,7374.958811
338,10000000,7324.745848
343,10000000,7274.216013
348,10000000,7223.352037
353,10000000,7172.136016
358,10000000,7120.549361
363,10000000,7068.572729
368,10000000,7016.185959
373,10000000,6963.368004
378,10000000,6910.096856
383,10000000,6856.349461
388,10000000,6802.101642
393,10000000,6747.328001
398,10000000,6692.001829
403,10000000,6636.094994
408,10000000,6579.577833
413,10000000,6522.419022
418,10000000,6464.585449
423,10000000,6406.042075
428,10000000,6346.751801
433,10000000,6286.675367
438,10000000,6225.771272
443,10000000,6163.995744
448,10000000,6101.302745
453,10000000,6037.643981
458,10000000,5972.968922
463,10000000,5907.224792
468,10000000,5840.356544
473,10000000,5772.306854
478,10000000,5703.016164
483,10000000,5632.422857
488,10000000,5560.463609
493,10000000,5487.073993
498,10000000,5412.189367
503,10000000,5335.746101
508,10000000,5257.683168
513,10000000,5177.94415
518,10000000,5096.479687
523,10000000,5013.250422
528,10000000,4928.230461
533,10000000,4841.411378
538,10000000,4752.806707
543,10000000,4662.45685
548,10000000,4570.434202
553,10000000,4476.848212
198,30000000,8776.10406
203,30000000,8732.068229
208,30000000,8688.206558
213,30000000,8644.504825
218,30000000,8600.949847
223,30000000,8557.529368
228,30000000,8514.231963
233,30000000,8471.04696
238,30000000,8427.964358
243,30000000,8384.974771
248,30000000,8342.06937
253,30000000,8299.239832
258,30000000,8256.478298
263,30000000,8213.777333
268,30000000,8171.129899
273,30000000,8128.529318
278,30000000,8085.969251
283,30000000,8043.443675
288,30000000,8000.946863
293,30000000,7958.473371
298,30000000,7916.018016
303,30000000,7873.575873
308,30000000,7831.142257
313,30000000,7788.712716
318,30000000,7746.283027
323,30000000,7703.849185
328,30000000,7661.407399
333,30000000,7618.954089
338,30000000,7576.48588
343,30000000,7533.999601
348,30000000,7491.492281
353,30000000,7448.961149
358,30000000,7406.403633
363,30000000,7363.817356
368,30000000,7321.200138
373,30000000,7278.549996
378,30000000,7235.865145
383,30000000,7193.143996
388,30000000,7150.385157
393,30000000,7107.587437
398,30000000,7064.749846
403,30000000,7021.871596
408,30000000,6978.952102
413,30000000,6935.990988
418,30000000,6892.988083
423,30000000,6849.943431
428,30000000,6806.857289
433,30000000,6763.730135
438,30000000,6720.562673
443,30000000,6677.355835
448,30000000,6634.110793
453,30000000,6590.828959
458,30000000,6547.511992
463,30000000,6504.161799
468,30000000,6460.780544
473,30000000,6417.370649
478,30000000,6373.9348
483,30000000,6330.475953
488,30000000,6286.997346
493,30000000,6243.502504
498,30000000,6199.995248
503,30000000,6156.479706
508,30000000,6112.960319
513,30000000,6069.44185
518,30000000,6025.92939
523,30000000,5982.428363
528,30000000,5938.94453
533,30000000,5895.483997
538,30000000,5852.053212
543,30000000,5808.658974
548,30000000,5765.308425
553,30000000,5722.009059
208,50000000,8793.649448
213,50000000,8752.47431
218,50000000,8711.508595
223,50000000,8670.74131
228,50000000,8630.162345
233,50000000,8589.762389
238,50000000,8549.532853
243,50000000,8509.465809
248,50000000,8469.553929
253,50000000,8429.790433
258,50000000,8390.169042
263,50000000,8350.683938
268,50000000,8311.329731
273,50000000,8272.101419
278,50000000,8232.994368
283,50000000,8194.004282
288,50000000,8155.127183
293,50000000,8116.359389
298,50000000,8077.697502
303,50000000,8039.138387
308,50000000,8000.67916
313,50000000,7962.31718
318,50000000,7924.050032
323,50000000,7885.875523
328,50000000,7847.79167
333,50000000,7809.796693
338,50000000,7771.889008
343,50000000,7734.067221
348,50000000,7696.33012
353,50000000,7658.676671
358,50000000,7621.106012
363,50000000,7583.617448
368,50000000,7546.210445
373,50000000,7508.884625
378,50000000,7471.639764
383,50000000,7434.475782
388,50000000,7397.392743
393,50000000,7360.39085
398,50000000,7323.470436
403,50000000,7286.631964
408,50000000,7249.87602
413,50000000,7213.203309
418,50000000,7176.61465
423,50000000,7140.11097
428,50000000,7103.693303
433,50000000,7067.362779
438,50000000,7031.120626
443,50000000,6994.968161
448,50000000,6958.906787
453,50000000,6922.937987
458,50000000,6887.063321
463,50000000,6851.28442
468,50000000,6815.602979
473,50000000,6780.020757
478,50000000,6744.539569
483,50000000,6709.161284
488,50000000,6673.887817
493,50000000,6638.721129
498,50000000,6603.66322
503,50000000,6568.716129
508,50000000,6533.881924
513,50000000,6499.162703
518,50000000,6464.560589
523,50000000,6430.077727
528,50000000,6395.716279
533,50000000,6361.47842
538,50000000,6327.366341
543,50000000,6293.382236
548,50000000,6259.528307
553,50000000,6225.806759
