Clapeyron Estimator
[method=saturation_p, species=CCCCCC]
T,out_p
216,1.05E+02
221,1.65E+02
226,2.54E+02
231,3.83E+02
236,5.65E+02
241,8.18E+02
246,1.16E+03
251,1.63E+03
256,2239.771283
261,3039.650365
266,4069.200614
271,5378.058143
276,7022.813432
281,9067.334757
286,11583.02881
291,14649.03614
296,18352.36101
301,22787.93727
306,28058.63321
311,34275.20011
316,41556.16995
321,50027.70894
326,59823.43394
331,71084.19929
336,83957.86178
341,98599.03153
346,115168.8163
351,133834.5669
356,154769.6303
361,178153.118
366,204169.696
371,233009.4018
376,264867.4965
381,299944.357
386,338445.4181
391,380581.1732
396,426567.2508
401,476624.5842
406,530979.6902
411,589865.0646
416,653519.6771
421,722189.5298
426,796128.2344
431,875597.5891
436,960868.1977
441,1052220.251
446,1149944.664
451,1254344.806
456,1365739.068
461,1484464.538
466,1610882.094
471,1745383.454
476,1888401.142
481,2040423.291
486,2202017.257
