Clapeyron Estimator
[method=saturation_rhol, species=CCCCCC]
T,out_rhol
216,8426.928655
221,8377.81275
226,8328.62015
231,8279.331171
236,8229.926258
241,8180.38589
246,8130.69048
251,8080.820297
256,8030.755374
261,7980.475432
266,7929.959794
271,7879.18731
276,7828.136266
281,7776.784306
286,7725.108334
291,7673.084422
296,7620.687708
301,7567.892278
306,7514.671049
311,7460.995634
316,7406.836189
321,7352.161249
326,7296.937542
331,7241.12978
336,7184.70042
341,7127.6094
346,7069.813831
351,7011.26765
356,6951.92122
361,6891.720869
366,6830.608361
371,6768.520275
376,6705.387284
381,6641.133307
386,6575.674514
391,6508.918133
396,6440.761025
401,6371.087943
406,6299.769379
411,6226.658836
416,6151.589316
421,6074.368758
426,5994.774102
431,5912.543645
436,5827.367288
441,5738.874165
446,5646.616768
451,5550.050044
456,5448.50265
461,5341.135454
466,5226.878574
471,5104.331157
476,4971.593334
481,4825.966006
486,4663.367304
