Clapeyron Estimator,
[method=saturation_rhov, species=CCCCCC]
T,out_rhov
216,0.058362
221,0.089912
226,0.13536
231,0.19948
236,0.28816
241,0.40864
246,0.56955
251,0.78115
256,1.0554
261,1.4059
266,1.8485
271,2.4006
276,3.082
281,3.9143
286,4.9214
291,6.1293
296,7.5659
301,9.2617
306,11.249
311,13.562
316,16.239
321,19.318
326,22.841
331,26.852
336,31.397
341,36.527
346,42.292
351,48.749
356,55.956
361,63.976
366,72.876
371,82.728
376,93.608
381,105.6
386,118.8
391,133.29
396,149.2
401,166.63
406,185.72
411,206.63
416,229.51
421,254.56
426,281.99
431,312.07
436,345.09
441,381.39
446,421.4
451,465.63
456,514.69
461,569.36
466,630.65
471,699.9
476,778.94
481,870.42
486,978.41
