Clapeyron Estimator,,
[method=u, species=CCCCCC],
T,p,out_u
190,10000000,1636.6
200,10000000,1589.8
210,10000000,1543.3
220,10000000,1497.2
230,10000000,1451.5
240,10000000,1406.3
250,10000000,1361.6
260,10000000,1317.4
270,10000000,1274
280,10000000,1231.1
290,10000000,1189
300,10000000,1147.5
310,10000000,1106.8
320,10000000,1066.8
330,10000000,1027.4
340,10000000,988.8
350,10000000,950.83
360,10000000,913.51
370,10000000,876.82
380,10000000,840.74
390,10000000,805.26
400,10000000,770.34
410,10000000,735.98
420,10000000,702.15
430,10000000,668.85
440,10000000,636.07
450,10000000,603.81
460,10000000,572.09
470,10000000,540.95
480,10000000,510.46
490,10000000,480.69
500,10000000,451.75
510,10000000,423.76
520,10000000,396.87
530,10000000,371.28
540,10000000,347.23
550,10000000,324.99
560,10000000,304.83
570,10000000,287.01
580,10000000,271.75
590,10000000,259.15
600,10000000,249.22
200,30000000,1673.2
210,30000000,1630.7
220,30000000,1588.7
230,30000000,1547.3
240,30000000,1506.5
250,30000000,1466.3
260,30000000,1426.9
270,30000000,1388.2
280,30000000,1350.3
290,30000000,1313.2
300,30000000,1277
310,30000000,1241.6
320,30000000,1207.1
330,30000000,1173.5
340,30000000,1140.8
350,30000000,1109
360,30000000,1078
370,30000000,1047.9
380,30000000,1018.6
390,30000000,990.22
400,30000000,962.65
410,30000000,935.9
420,30000000,909.96
430,30000000,884.83
440,30000000,860.48
450,30000000,836.92
460,30000000,814.14
470,30000000,792.12
480,30000000,770.87
490,30000000,750.37
500,30000000,730.62
510,30000000,711.62
520,30000000,693.36
530,30000000,675.83
540,30000000,659.04
550,30000000,642.98
560,30000000,627.64
570,30000000,613.03
580,30000000,599.13
590,30000000,585.95
600,30000000,573.47
210,50000000,1708.8
220,50000000,1669.9
230,50000000,1631.5
240,50000000,1593.8
250,50000000,1556.8
260,50000000,1520.5
270,50000000,1485
280,50000000,1450.3
290,50000000,1416.4
300,50000000,1383.4
310,50000000,1351.2
320,50000000,1319.9
330,50000000,1289.6
340,50000000,1260.1
350,50000000,1231.5
360,50000000,1203.7
370,50000000,1176.8
380,50000000,1150.8
390,50000000,1125.6
400,50000000,1101.2
410,50000000,1077.7
420,50000000,1054.9
430,50000000,1032.8
440,50000000,1011.6
450,50000000,991.03
460,50000000,971.21
470,50000000,952.08
480,50000000,933.63
490,50000000,915.84
500,50000000,898.7
510,50000000,882.19
520,50000000,866.29
530,50000000,850.99
540,50000000,836.27
550,50000000,822.11
560,50000000,808.51
570,50000000,795.45
580,50000000,782.9
590,50000000,770.87
600,50000000,759.33
