Clapeyron Estimator
[method=Cp, species=CCCCCCCCC]
T,p,out_Cp
230,10000000,256.48
240,10000000,259.32
250,10000000,262.53
260,10000000,266.08
270,10000000,269.91
280,10000000,273.99
290,10000000,278.28
300,10000000,282.75
310,10000000,287.38
320,10000000,292.14
330,10000000,297.01
340,10000000,301.97
350,10000000,307
360,10000000,312.09
370,10000000,317.22
380,10000000,322.37
390,10000000,327.55
400,10000000,332.73
410,10000000,337.92
420,10000000,343.1
430,10000000,348.27
440,10000000,353.42
450,10000000,358.54
460,10000000,363.64
470,10000000,368.71
480,10000000,373.75
490,10000000,378.75
500,10000000,383.71
510,10000000,388.64
520,10000000,393.52
530,10000000,398.36
540,10000000,403.14
550,10000000,407.88
560,10000000,412.56
570,10000000,417.16
580,10000000,421.7
590,10000000,426.14
600,10000000,430.47
240,30000000,258.71
250,30000000,261.79
260,30000000,265.18
270,30000000,268.86
280,30000000,272.78
290,30000000,276.9
300,30000000,281.2
310,30000000,285.64
320,30000000,290.21
330,30000000,294.87
340,30000000,299.61
350,30000000,304.41
360,30000000,309.24
370,30000000,314.11
380,30000000,318.99
390,30000000,323.86
400,30000000,328.73
410,30000000,333.58
420,30000000,338.39
430,30000000,343.17
440,30000000,347.9
450,30000000,352.58
460,30000000,357.21
470,30000000,361.77
480,30000000,366.26
490,30000000,370.68
500,30000000,375.03
510,30000000,379.31
520,30000000,383.5
530,30000000,387.61
540,30000000,391.64
550,30000000,395.59
560,30000000,399.45
570,30000000,403.22
580,30000000,406.91
590,30000000,410.51
600,30000000,414.03
260,50000000,264.77
270,50000000,268.34
280,50000000,272.16
290,50000000,276.19
300,50000000,280.39
310,50000000,284.73
320,50000000,289.19
330,50000000,293.75
340,50000000,298.38
350,50000000,303.07
360,50000000,307.81
370,50000000,312.56
380,50000000,317.33
390,50000000,322.09
400,50000000,326.85
410,50000000,331.58
420,50000000,336.28
430,50000000,340.95
440,50000000,345.57
450,50000000,350.14
460,50000000,354.65
470,50000000,359.11
480,50000000,363.5
490,50000000,367.82
500,50000000,372.07
510,50000000,376.25
520,50000000,380.35
530,50000000,384.38
540,50000000,388.34
550,50000000,392.21
560,50000000,396.01
570,50000000,399.74
580,50000000,403.38
590,50000000,406.95
600,50000000,410.45
