Clapeyron Estimator,
[method=Cv, species=CCCCCCCCC]
T,P,p,Phase,out_Cv
230,10,10000000,liquid,201.42
240,10,10000000,liquid,204.8
250,10,10000000,liquid,208.48
260,10,10000000,liquid,212.41
270,10,10000000,liquid,216.56
280,10,10000000,liquid,220.9
290,10,10000000,liquid,225.41
300,10,10000000,liquid,230.05
310,10,10000000,liquid,234.8
320,10,10000000,liquid,239.65
330,10,10000000,liquid,244.57
340,10,10000000,liquid,249.54
350,10,10000000,liquid,254.56
360,10,10000000,liquid,259.6
370,10,10000000,liquid,264.66
380,10,10000000,liquid,269.72
390,10,10000000,liquid,274.77
400,10,10000000,liquid,279.81
410,10,10000000,liquid,284.82
420,10,10000000,liquid,289.8
430,10,10000000,liquid,294.75
440,10,10000000,liquid,299.66
450,10,10000000,liquid,304.52
460,10,10000000,liquid,309.33
470,10,10000000,liquid,314.09
480,10,10000000,liquid,318.79
490,10,10000000,liquid,323.44
500,10,10000000,liquid,328.03
510,10,10000000,liquid,332.56
520,10,10000000,liquid,337.03
530,10,10000000,liquid,341.44
540,10,10000000,liquid,345.79
550,10,10000000,liquid,350.08
560,10,10000000,liquid,354.31
570,10,10000000,liquid,358.48
580,10,10000000,liquid,362.59
590,10,10000000,liquid,366.65
600,10,10000000,supercritical,370.64
240,30,30000000,liquid,206.3
250,30,30000000,liquid,209.95
260,30,30000000,liquid,213.86
270,30,30000000,liquid,217.99
280,30,30000000,liquid,222.31
290,30,30000000,liquid,226.8
300,30,30000000,liquid,231.43
310,30,30000000,liquid,236.17
320,30,30000000,liquid,241
330,30,30000000,liquid,245.9
340,30,30000000,liquid,250.86
350,30,30000000,liquid,255.86
360,30,30000000,liquid,260.89
370,30,30000000,liquid,265.93
380,30,30000000,liquid,270.97
390,30,30000000,liquid,276.01
400,30,30000000,liquid,281.02
410,30,30000000,liquid,286.02
420,30,30000000,liquid,290.98
430,30,30000000,liquid,295.9
440,30,30000000,liquid,300.78
450,30,30000000,liquid,305.6
460,30,30000000,liquid,310.38
470,30,30000000,liquid,315.1
480,30,30000000,liquid,319.76
490,30,30000000,liquid,324.35
500,30,30000000,liquid,328.89
510,30,30000000,liquid,333.35
520,30,30000000,liquid,337.75
530,30,30000000,liquid,342.08
540,30,30000000,liquid,346.35
550,30,30000000,liquid,350.54
560,30,30000000,liquid,354.66
570,30,30000000,liquid,358.72
580,30,30000000,liquid,362.7
590,30,30000000,liquid,366.62
600,30,30000000,supercritical,370.47
260,50,50000000,liquid,215.22
270,50,50000000,liquid,219.33
280,50,50000000,liquid,223.64
290,50,50000000,liquid,228.11
300,50,50000000,liquid,232.72
310,50,50000000,liquid,237.44
320,50,50000000,liquid,242.26
330,50,50000000,liquid,247.15
340,50,50000000,liquid,252.09
350,50,50000000,liquid,257.08
360,50,50000000,liquid,262.1
370,50,50000000,liquid,267.12
380,50,50000000,liquid,272.15
390,50,50000000,liquid,277.18
400,50,50000000,liquid,282.18
410,50,50000000,liquid,287.16
420,50,50000000,liquid,292.11
430,50,50000000,liquid,297.02
440,50,50000000,liquid,301.88
450,50,50000000,liquid,306.7
460,50,50000000,liquid,311.46
470,50,50000000,liquid,316.16
480,50,50000000,liquid,320.81
490,50,50000000,liquid,325.39
500,50,50000000,liquid,329.9
510,50,50000000,liquid,334.35
520,50,50000000,liquid,338.73
530,50,50000000,liquid,343.05
540,50,50000000,liquid,347.29
550,50,50000000,liquid,351.46
560,50,50000000,liquid,355.57
570,50,50000000,liquid,359.6
580,50,50000000,liquid,363.56
590,50,50000000,liquid,367.46
600,50,50000000,supercritical,371.28
