T,P,p,Cv,Cp,u,Phase
230,10,10000000,201.4241896,256.4795453,1543.933496,liquid
240,10,10000000,204.8033177,259.3191522,1499.720065,liquid
250,10,10000000,208.4765761,262.5344482,1456.858008,liquid
260,10,10000000,212.4066083,266.0784771,1415.261189,liquid
270,10,10000000,216.5589448,269.9087232,1374.850256,liquid
280,10,10000000,220.9020807,273.9869021,1335.551318,liquid
290,10,10000000,225.4073993,278.2786612,1297.295177,liquid
300,10,10000000,230.0490088,282.7532392,1260.016862,liquid
310,10,10000000,234.8035375,287.3831213,1223.655339,liquid
320,10,10000000,239.6499153,292.1437095,1188.153317,liquid
330,10,10000000,244.5691628,297.0130195,1153.457091,liquid
340,10,10000000,249.5441935,301.9714118,1119.516407,liquid
350,10,10000000,254.5596375,307.0013535,1086.284343,liquid
360,10,10000000,259.6016839,312.0872125,1053.717191,liquid
370,10,10000000,264.6579437,317.2150786,1021.774355,liquid
380,10,10000000,269.7173292,322.3726081,990.4182642,liquid
390,10,10000000,274.7699483,327.5488873,959.6143012,liquid
400,10,10000000,279.8070109,332.7343123,929.3307618,liquid
410,10,10000000,284.8207455,337.9204795,899.5388415,liquid
420,10,10000000,289.804324,343.1000849,870.2126606,liquid
430,10,10000000,294.7517922,348.2668283,841.3293318,liquid
440,10,10000000,299.6580067,353.4153203,812.8690777,liquid
450,10,10000000,304.5185754,358.5409871,784.8154044,liquid
460,10,10000000,309.3298011,363.6399718,757.1553415,liquid
470,10,10000000,314.0886288,368.7090274,729.879753,liquid
480,10,10000000,318.7925938,373.7453966,702.9837308,liquid
490,10,10000000,323.4397728,378.7466755,676.4670758,liquid
500,10,10000000,328.0287342,383.7106527,650.3348718,liquid
510,10,10000000,332.5584888,388.6351207,624.5981518,liquid
520,10,10000000,337.0284394,393.5176513,599.2746462,liquid
530,10,10000000,341.4383269,398.3553333,574.3895892,liquid
540,10,10000000,345.7881713,403.1444705,549.9765347,liquid
550,10,10000000,350.0782065,407.8802489,526.0781006,liquid
560,10,10000000,354.3088044,412.5563936,502.7465158,liquid
570,10,10000000,358.4803872,417.164856,480.0437871,liquid
580,10,10000000,362.5933259,421.6956007,458.0412476,liquid
590,10,10000000,366.6478243,426.1365867,436.8181994,liquid
600,10,10000000,370.643793,430.4740642,416.4593674,supercritical
240,30,30000000,206.3004455,258.7133956,1590.891783,liquid
250,30,30000000,209.9497044,261.785513,1550.767296,liquid
260,30,30000000,213.8578669,265.1813605,1511.987955,liquid
270,30,30000000,217.9901365,268.8576144,1474.480841,liquid
280,30,30000000,222.3147133,272.775174,1438.178604,liquid
290,30,30000000,226.8027096,276.8988516,1403.018695,liquid
300,30,30000000,231.427981,281.1970231,1368.942912,liquid
310,30,30000000,236.1669152,285.6412738,1335.897125,liquid
320,30,30000000,240.9982106,290.2060613,1303.83108,liquid
330,30,30000000,245.9026593,294.8684048,1272.69824,liquid
340,30,30000000,250.8629477,299.6076086,1242.455648,liquid
350,30,30000000,255.863475,304.4050184,1213.063782,liquid
360,30,30000000,260.8901938,309.2438082,1184.486414,liquid
370,30,30000000,265.9304689,314.1087968,1156.690461,liquid
380,30,30000000,270.9729542,318.986288,1129.645834,liquid
390,30,30000000,276.0074837,323.8639306,1103.325294,liquid
400,30,30000000,281.0249749,328.7305974,1077.704303,liquid
410,30,30000000,286.0173427,333.5762767,1052.760874,liquid
420,30,30000000,290.97742,338.3919765,1028.475431,liquid
430,30,30000000,295.8988868,343.1696384,1004.830672,liquid
440,30,30000000,300.7762026,347.9020592,981.8114206,liquid
450,30,30000000,305.6045446,352.5828204,959.4044978,liquid
460,30,30000000,310.3797491,357.2062236,937.5985762,liquid
470,30,30000000,315.0982561,361.7672321,916.3840422,liquid
480,30,30000000,319.7570572,366.2614174,895.7528502,liquid
490,30,30000000,324.3536459,370.6849116,875.6983734,liquid
500,30,30000000,328.8859709,375.0343644,856.2152468,liquid
510,30,30000000,333.3523918,379.3069057,837.2992034,liquid
520,30,30000000,337.7516373,383.5001123,818.9469006,liquid
530,30,30000000,342.0827664,387.6119797,801.1557388,liquid
540,30,30000000,346.3451316,391.6408989,783.9236705,liquid
550,30,30000000,350.5383451,395.5856359,767.2490022,liquid
560,30,30000000,354.6622477,399.4453162,751.1301907,liquid
570,30,30000000,358.7168797,403.2194112,735.5656357,liquid
580,30,30000000,362.7024549,406.907727,720.5534737,liquid
590,30,30000000,366.6193368,410.5103951,706.0913769,liquid
600,30,30000000,370.4680174,414.0278621,692.1763615,supercritical
260,50,50000000,215.2226706,264.765531,1598.303592,liquid
270,50,50000000,219.3338352,268.3442927,1562.864857,liquid
280,50,50000000,223.6389738,272.1636682,1528.659542,liquid
290,50,50000000,228.1089737,276.1882672,1495.626457,liquid
300,50,50000000,232.7174895,280.386301,1463.708493,liquid
310,50,50000000,237.4407286,284.7292257,1432.852338,liquid
320,50,50000000,242.2572258,289.1914038,1403.008272,liquid
330,50,50000000,247.1476241,293.7497933,1374.129998,liquid
340,50,50000000,252.0944721,298.3836711,1346.174488,liquid
350,50,50000000,257.0820419,303.0743899,1319.101825,liquid
360,50,50000000,262.0961671,307.8051667,1292.875041,liquid
370,50,50000000,267.1241015,312.5609005,1267.45995,liquid
380,50,50000000,272.1543942,317.328014,1242.824978,liquid
390,50,50000000,277.1767806,322.0943168,1218.940993,liquid
400,50,50000000,282.1820851,326.8488853,1195.781128,liquid
410,50,50000000,287.1621345,331.5819569,1173.320622,liquid
420,50,50000000,292.1096792,336.2848359,1151.536647,liquid
430,50,50000000,297.0183214,340.9498093,1130.408156,liquid
440,50,50000000,301.8824488,345.5700693,1109.915721,liquid
450,50,50000000,306.6971721,350.1396435,1090.041392,liquid
460,50,50000000,311.4582676,354.6533299,1070.76855,liquid
470,50,50000000,316.1621222,359.1066367,1052.081774,liquid
480,50,50000000,320.8056816,363.4957269,1033.966705,liquid
490,50,50000000,325.3864018,367.8173656,1016.409928,liquid
500,50,50000000,329.9022032,372.0688721,999.3988463,liquid
