Clapeyron Estimator
[method=rhol, species=CCCCCCCCC]
T,p,out_rhol
230,10000000,6030.315055
240,10000000,5970.41012
250,10000000,5911.050183
260,10000000,5852.139976
270,10000000,5793.592711
280,10000000,5735.328628
290,10000000,5677.273787
300,10000000,5619.359048
310,10000000,5561.519195
320,10000000,5503.692179
330,10000000,5445.818461
340,10000000,5387.840417
350,10000000,5329.70181
360,10000000,5271.347306
370,10000000,5212.722028
380,10000000,5153.771133
390,10000000,5094.439421
400,10000000,5034.670955
410,10000000,4974.408702
420,10000000,4913.59419
430,10000000,4852.167186
440,10000000,4790.065386
450,10000000,4727.224158
460,10000000,4663.57631
470,10000000,4599.051943
480,10000000,4533.578383
490,10000000,4467.080262
500,10000000,4399.479773
510,10000000,4330.697197
520,10000000,4260.651766
530,10000000,4189.262991
540,10000000,4116.452586
550,10000000,4042.147127
240,30000000,6052.669743
250,30000000,5997.424314
260,30000000,5942.826766
270,30000000,5888.804593
280,30000000,5835.29334
290,30000000,5782.235509
300,30000000,5729.57965
310,30000000,5677.279623
320,30000000,5625.293976
330,30000000,5573.585434
340,30000000,5522.120472
350,30000000,5470.868965
360,30000000,5419.80389
370,30000000,5368.901089
380,30000000,5318.139068
390,30000000,5267.498836
400,30000000,5216.96378
410,30000000,5166.519566
420,30000000,5116.154061
430,30000000,5065.857282
440,30000000,5015.62136
450,30000000,4965.44052
460,30000000,4915.311072
470,30000000,4865.231416
480,30000000,4815.202044
490,30000000,4765.22556
500,30000000,4715.306684
510,30000000,4665.452261
520,30000000,4615.671264
530,30000000,4565.974776
540,30000000,4516.375969
550,30000000,4466.890051
260,50000000,6022.442695
270,50000000,5971.836598
280,50000000,5921.861953
290,50000000,5872.466621
300,50000000,5823.604554
310,50000000,5775.235051
320,50000000,5727.322124
330,50000000,5679.833972
340,50000000,5632.742533
350,50000000,5586.023106
360,50000000,5539.654025
370,50000000,5493.616383
380,50000000,5447.893789
390,50000000,5402.472162
400,50000000,5357.339549
410,50000000,5312.485961
420,50000000,5267.903231
430,50000000,5223.584891
440,50000000,5179.526048
450,50000000,5135.723283
460,50000000,5092.174549
470,50000000,5048.87908
480,50000000,5005.837302
490,50000000,4963.050743
500,50000000,4920.521955
510,50000000,4878.254425
520,50000000,4836.252497
530,50000000,4794.521287
540,50000000,4753.066597
550,50000000,4711.894835
