Clapeyron Estimator
[method=saturation_p, species=CCCCCCCCC]
T,out_p
237,3.54E+00
242,6.04E+00
247,1.00E+01
252,1.63E+01
257,2.59E+01
262,4.03E+01
267,6.14E+01
272,9.19E+01
277,1.35E+02
282,1.95E+02
287,2.78E+02
292,390.1892227
297,539.8574854
302,737.1989766
307,994.2604683
312,1325.297229
317,1747.001418
322,2278.726025
327,2942.700721
332,3764.236192
337,4771.913888
342,5997.758531
347,7477.391209
352,9250.161408
357,11359.25688
362,13851.79076
367,16778.86592
372,20195.61696
377,24161.23067
382,28738.94645
387,33996.03798
392,40003.77835
397,46837.39068
402,54575.98657
407,63302.49489
412,73103.58354
417,84069.57697
422,96294.37201
427,109875.3551
432,124913.3234
437,141512.4138
442,159780.0406
447,179826.8479
452,201766.6774
457,225716.5568
462,251796.7116
467,280130.6046
472,310845.008
477,344070.1135
482,379939.6861
487,418591.2697
492,460166.4529
497,504811.2072
502,552676.3101
507,603917.8733
512,658697.9963
517,717185.5789
522,779557.3294
527,845999.0268
532,916707.1086
