Clapeyron Estimator
[method=saturation_rhol, species=CCCCCCCCC]
T,out_rhol
237,5943.541667
242,5912.476651
247,5881.505584
252,5850.614789
257,5819.791053
262,5789.021574
267,5758.293903
272,5727.5959
277,5696.915683
282,5666.24159
287,5635.562136
292,5604.865973
297,5574.141852
302,5543.37859
307,5512.565028
312,5481.690003
317,5450.742309
322,5419.710664
327,5388.583673
332,5357.349792
337,5325.997296
342,5294.514235
347,5262.888395
352,5231.107262
357,5199.15797
362,5167.027257
367,5134.701416
372,5102.166236
377,5069.406945
382,5036.408146
387,5003.15374
392,4969.626854
397,4935.809749
402,4901.683723
407,4867.229007
412,4832.424638
417,4797.248328
422,4761.676304
427,4725.683138
432,4689.241549
437,4652.322169
442,4614.893288
447,4576.92055
452,4538.366607
457,4499.190706
462,4459.34822
467,4418.790081
472,4377.462119
477,4335.304265
482,4292.249604
487,4248.223215
492,4203.140768
497,4156.90679
502,4109.412512
507,4060.53316
512,4010.124511
517,3958.018456
522,3904.017194
527,3847.885513
532,3789.340326
