Clapeyron Estimator,
[method=saturation_rhov, species=CCCCCCCCC]
T,out_rhov
237,0.0017961
242,0.0030023
247,0.0048936
252,0.0077902
257,0.01213
262,0.018501
267,0.027674
272,0.040646
277,0.058682
282,0.083364
287,0.11664
292,0.16086
297,0.21888
302,0.29404
307,0.39027
312,0.51211
317,0.6648
322,0.85424
327,1.0871
332,1.3709
337,1.7139
342,2.1253
347,2.615
352,3.1939
357,3.8738
362,4.6676
367,5.5888
372,6.6522
377,7.8734
382,9.269
387,10.857
392,12.656
397,14.685
402,16.967
407,19.523
412,22.376
417,25.553
422,29.079
427,32.982
432,37.292
437,42.042
442,47.265
447,52.998
452,59.28
457,66.154
462,73.665
467,81.863
472,90.804
477,100.55
482,111.16
487,122.72
492,135.3
497,149
502,163.93
507,180.21
512,197.98
517,217.41
522,238.68
527,262.05
532,287.77
