Clapeyron Estimator,,
[method=u, species=CCCCCCCCC],
T,p,out_u
230,10000000,1543.9
240,10000000,1499.7
250,10000000,1456.9
260,10000000,1415.3
270,10000000,1374.9
280,10000000,1335.6
290,10000000,1297.3
300,10000000,1260
310,10000000,1223.7
320,10000000,1188.2
330,10000000,1153.5
340,10000000,1119.5
350,10000000,1086.3
360,10000000,1053.7
370,10000000,1021.8
380,10000000,990.42
390,10000000,959.61
400,10000000,929.33
410,10000000,899.54
420,10000000,870.21
430,10000000,841.33
440,10000000,812.87
450,10000000,784.82
460,10000000,757.16
470,10000000,729.88
480,10000000,702.98
490,10000000,676.47
500,10000000,650.33
510,10000000,624.6
520,10000000,599.27
530,10000000,574.39
540,10000000,549.98
550,10000000,526.08
560,10000000,502.75
570,10000000,480.04
580,10000000,458.04
590,10000000,436.82
600,10000000,416.46
240,30000000,1590.9
250,30000000,1550.8
260,30000000,1512
270,30000000,1474.5
280,30000000,1438.2
290,30000000,1403
300,30000000,1368.9
310,30000000,1335.9
320,30000000,1303.8
330,30000000,1272.7
340,30000000,1242.5
350,30000000,1213.1
360,30000000,1184.5
370,30000000,1156.7
380,30000000,1129.6
390,30000000,1103.3
400,30000000,1077.7
410,30000000,1052.8
420,30000000,1028.5
430,30000000,1004.8
440,30000000,981.81
450,30000000,959.4
460,30000000,937.6
470,30000000,916.38
480,30000000,895.75
490,30000000,875.7
500,30000000,856.22
510,30000000,837.3
520,30000000,818.95
530,30000000,801.16
540,30000000,783.92
550,30000000,767.25
560,30000000,751.13
570,30000000,735.57
580,30000000,720.55
590,30000000,706.09
600,30000000,692.18
260,50000000,1598.3
270,50000000,1562.9
280,50000000,1528.7
290,50000000,1495.6
300,50000000,1463.7
310,50000000,1432.9
320,50000000,1403
330,50000000,1374.1
340,50000000,1346.2
350,50000000,1319.1
360,50000000,1292.9
370,50000000,1267.5
380,50000000,1242.8
390,50000000,1218.9
400,50000000,1195.8
410,50000000,1173.3
420,50000000,1151.5
430,50000000,1130.4
440,50000000,1109.9
450,50000000,1090
460,50000000,1070.8
470,50000000,1052.1
480,50000000,1034
490,50000000,1016.4
500,50000000,999.4
510,50000000,982.92
520,50000000,966.97
530,50000000,951.52
540,50000000,936.58
550,50000000,922.13
560,50000000,908.16
570,50000000,894.67
580,50000000,881.63
590,50000000,869.05
600,50000000,856.91
