Clapeyron Estimator
[method=Cp, species=CCCCCCCC]
T,p,out_Cp
230,10000000,229.85
240,10000000,232.75
250,10000000,235.82
260,10000000,239.06
270,10000000,242.47
280,10000000,246.05
290,10000000,249.8
300,10000000,253.69
310,10000000,257.73
320,10000000,261.89
330,10000000,266.16
340,10000000,270.53
350,10000000,274.98
360,10000000,279.5
370,10000000,284.09
380,10000000,288.71
390,10000000,293.38
400,10000000,298.08
410,10000000,302.8
420,10000000,307.53
430,10000000,312.28
440,10000000,317.03
450,10000000,321.79
460,10000000,326.55
470,10000000,331.31
480,10000000,336.08
490,10000000,340.84
500,10000000,345.6
510,10000000,350.36
520,10000000,355.12
530,10000000,359.87
540,10000000,364.61
550,10000000,369.33
560,10000000,374.02
570,10000000,378.66
580,10000000,383.24
590,10000000,387.74
600,10000000,392.12
240,30000000,231.76
250,30000000,234.69
260,30000000,237.79
270,30000000,241.05
280,30000000,244.47
290,30000000,248.05
300,30000000,251.76
310,30000000,255.6
320,30000000,259.56
330,30000000,263.61
340,30000000,267.74
350,30000000,271.94
360,30000000,276.19
370,30000000,280.47
380,30000000,284.78
390,30000000,289.11
400,30000000,293.44
410,30000000,297.75
420,30000000,302.06
430,30000000,306.34
440,30000000,310.58
450,30000000,314.79
460,30000000,318.96
470,30000000,323.08
480,30000000,327.15
490,30000000,331.16
500,30000000,335.11
510,30000000,339
520,30000000,342.82
530,30000000,346.58
540,30000000,350.27
550,30000000,353.89
560,30000000,357.44
570,30000000,360.92
580,30000000,364.32
590,30000000,367.65
600,30000000,370.91
260,50000000,237.06
270,50000000,240.24
280,50000000,243.57
290,50000000,247.06
300,50000000,250.68
310,50000000,254.43
320,50000000,258.29
330,50000000,262.24
340,50000000,266.27
350,50000000,270.37
360,50000000,274.51
370,50000000,278.69
380,50000000,282.89
390,50000000,287.1
400,50000000,291.32
410,50000000,295.52
420,50000000,299.71
430,50000000,303.87
440,50000000,308
450,50000000,312.09
460,50000000,316.14
470,50000000,320.14
480,50000000,324.08
490,50000000,327.98
500,50000000,331.82
510,50000000,335.6
520,50000000,339.32
530,50000000,342.98
540,50000000,346.57
550,50000000,350.1
560,50000000,353.57
570,50000000,356.98
580,50000000,360.32
590,50000000,363.6
600,50000000,366.82
