Clapeyron Estimator,
[method=Cv, species=CCCCCCCC]
T,P,p,out_Cv
230,10,10000000,182.41
240,10,10000000,185.19
250,10,10000000,188.14
260,10,10000000,191.26
270,10,10000000,194.56
280,10,10000000,198.03
290,10,10000000,201.66
300,10,10000000,205.43
310,10,10000000,209.34
320,10,10000000,213.36
330,10,10000000,217.49
340,10,10000000,221.7
350,10,10000000,225.98
360,10,10000000,230.32
370,10,10000000,234.7
380,10,10000000,239.11
390,10,10000000,243.55
400,10,10000000,247.99
410,10,10000000,252.43
420,10,10000000,256.86
430,10,10000000,261.28
440,10,10000000,265.67
450,10,10000000,270.03
460,10,10000000,274.36
470,10,10000000,278.66
480,10,10000000,282.91
490,10,10000000,287.12
500,10,10000000,291.28
510,10,10000000,295.39
520,10,10000000,299.46
530,10,10000000,303.47
540,10,10000000,307.43
550,10,10000000,311.34
560,10,10000000,315.2
570,10,10000000,319
580,10,10000000,322.74
590,10,10000000,326.43
600,10,10000000,330.06
240,30,30000000,186.4
250,30,30000000,189.35
260,30,30000000,192.47
270,30,30000000,195.76
280,30,30000000,199.21
290,30,30000000,202.83
300,30,30000000,206.58
310,30,30000000,210.47
320,30,30000000,214.47
330,30,30000000,218.58
340,30,30000000,222.77
350,30,30000000,227.02
360,30,30000000,231.34
370,30,30000000,235.69
380,30,30000000,240.08
390,30,30000000,244.48
400,30,30000000,248.89
410,30,30000000,253.3
420,30,30000000,257.69
430,30,30000000,262.06
440,30,30000000,266.41
450,30,30000000,270.73
460,30,30000000,275.01
470,30,30000000,279.24
480,30,30000000,283.44
490,30,30000000,287.58
500,30,30000000,291.67
510,30,30000000,295.71
520,30,30000000,299.69
530,30,30000000,303.61
540,30,30000000,307.48
550,30,30000000,311.29
560,30,30000000,315.04
570,30,30000000,318.74
580,30,30000000,322.37
590,30,30000000,325.95
600,30,30000000,329.47
260,50,50000000,193.59
270,50,50000000,196.88
280,50,50000000,200.33
290,50,50000000,203.93
300,50,50000000,207.68
310,50,50000000,211.57
320,50,50000000,215.56
330,50,50000000,219.66
340,50,50000000,223.84
350,50,50000000,228.09
360,50,50000000,232.4
370,50,50000000,236.75
380,50,50000000,241.13
390,50,50000000,245.52
400,50,50000000,249.93
410,50,50000000,254.33
420,50,50000000,258.71
430,50,50000000,263.08
440,50,50000000,267.42
450,50,50000000,271.73
460,50,50000000,275.99
470,50,50000000,280.22
480,50,50000000,284.4
490,50,50000000,288.54
500,50,50000000,292.62
510,50,50000000,296.65
520,50,50000000,300.62
530,50,50000000,304.54
540,50,50000000,308.4
550,50,50000000,312.2
560,50,50000000,315.95
570,50,50000000,319.64
580,50,50000000,323.27
590,50,50000000,326.85
600,50,50000000,330.36
