T,P,p,Cv,Cp,u,Phase
216.37,0.1,100000,178.22,226.64,1530,liquid
226.37,0.1,100000,180.8,229.44,1484.7,liquid
236.37,0.1,100000,183.52,232.39,1439.7,liquid
246.37,0.1,100000,186.41,235.49,1395.1,liquid
256.37,0.1,100000,189.47,238.78,1351,liquid
266.37,0.1,100000,192.71,242.25,1307.3,liquid
276.37,0.1,100000,196.13,245.9,1264.2,liquid
286.37,0.1,100000,199.72,249.73,1221.6,liquid
296.37,0.1,100000,203.46,253.73,1179.5,liquid
306.37,0.1,100000,207.34,257.89,1138,liquid
316.37,0.1,100000,211.35,262.21,1097,liquid
326.37,0.1,100000,215.46,266.66,1056.5,liquid
336.37,0.1,100000,219.68,271.25,1016.5,liquid
346.37,0.1,100000,223.97,275.96,976.99,liquid
356.37,0.1,100000,228.32,280.77,937.88,liquid
366.37,0.1,100000,232.73,285.7,899.15,liquid
376.37,0.1,100000,237.19,290.74,860.74,liquid
386.37,0.1,100000,241.67,295.88,822.59,liquid
396.37,0.1,100000,246.17,301.14,784.65,liquid
398.32,0.1,100000,247.05,302.18,777.26,liquid
398.32,0.1,100000,233.3,244.62,164.35,vapor
406.37,0.1,100000,237.04,248.07,166.65,vapor
416.37,0.1,100000,241.68,252.4,169.4,vapor
426.37,0.1,100000,246.29,256.76,172.05,vapor
436.37,0.1,100000,250.88,261.12,174.61,vapor
446.37,0.1,100000,255.44,265.49,177.09,vapor
456.37,0.1,100000,259.96,269.84,179.5,vapor
466.37,0.1,100000,264.44,274.18,181.85,vapor
476.37,0.1,100000,268.87,278.49,184.14,vapor
486.37,0.1,100000,273.26,282.76,186.38,vapor
496.37,0.1,100000,277.59,287,188.57,vapor
506.37,0.1,100000,281.87,291.19,190.72,vapor
516.37,0.1,100000,286.1,295.34,192.84,vapor
526.37,0.1,100000,290.26,299.44,194.91,vapor
536.37,0.1,100000,294.37,303.48,196.95,vapor
546.37,0.1,100000,298.42,307.48,198.96,vapor
556.37,0.1,100000,302.41,311.42,200.94,vapor
566.37,0.1,100000,306.34,315.31,202.89,vapor
576.37,0.1,100000,310.21,319.14,204.82,vapor
586.37,0.1,100000,314.02,322.91,206.72,vapor
596.37,0.1,100000,317.77,326.63,208.6,vapor
