T,P,p,Cv,Cp,u,Phase
230,10,10000000,182.4092931,229.8466112,1516.15877,liquid
240,10,10000000,185.1914263,232.7511763,1473.701758,liquid
250,10,10000000,188.1394823,235.8183244,1431.798592,liquid
260,10,10000000,191.2622486,239.0569281,1390.478658,liquid
270,10,10000000,194.5603826,242.4691512,1349.774404,liquid
280,10,10000000,198.0282979,246.0515579,1309.714763,liquid
290,10,10000000,201.6559952,249.7964217,1270.32187,liquid
300,10,10000000,205.4306002,253.6929829,1231.610141,liquid
310,10,10000000,209.3375462,257.7285326,1193.58677,liquid
320,10,10000000,213.3614352,261.8892853,1156.25287,liquid
330,10,10000000,217.4866455,266.1610543,1119.604777,liquid
340,10,10000000,221.6977555,270.5297607,1083.635247,liquid
350,10,10000000,225.9798381,274.9818081,1048.334437,liquid
360,10,10000000,230.3186654,279.5043537,1013.690678,liquid
370,10,10000000,234.7008488,284.0854995,979.6910501,liquid
380,10,10000000,239.113932,288.7144201,946.3218251,liquid
390,10,10000000,243.546446,293.3814414,913.5688248,liquid
400,10,10000000,247.9879357,298.07808,881.4177301,liquid
410,10,10000000,252.428961,302.7970514,849.854382,liquid
420,10,10000000,256.8610792,307.5322507,818.865101,liquid
430,10,10000000,261.276812,312.2787104,788.4370477,liquid
440,10,10000000,265.6696006,317.0325362,758.5586468,liquid
450,10,10000000,270.0337525,321.7908202,729.2200912,liquid
460,10,10000000,274.3643818,326.5515275,700.4139471,liquid
470,10,10000000,278.6573468,331.3133518,672.1358735,liquid
480,10,10000000,282.9091844,336.0755307,644.3854707,liquid
490,10,10000000,287.1170436,340.837609,617.1672641,liquid
500,10,10000000,291.2786165,345.5991385,590.4918161,liquid
510,10,10000000,295.3920678,350.3592967,564.376943,liquid
520,10,10000000,299.4559583,355.1164161,538.8489753,liquid
530,10,10000000,303.4691619,359.8674148,513.9439593,liquid
540,10,10000000,307.4307757,364.6071494,489.7086488,liquid
550,10,10000000,311.3400035,369.3277365,466.2010275,liquid
560,10,10000000,315.1960187,374.0179058,443.4899819,liquid
570,10,10000000,318.9978379,378.6625633,421.653839,supercritical
580,10,10000000,322.7441558,383.2427489,400.777441,supercritical
590,10,10000000,326.4331654,387.7361491,380.947499,supercritical
600,10,10000000,330.0624179,392.1182688,362.2464774,supercritical
240,30,30000000,186.404919,231.7557378,1564.908381,liquid
250,30,30000000,189.3522125,234.6881471,1526.797852,liquid
260,30,30000000,192.4701802,237.7853518,1489.389798,liquid
270,30,30000000,195.7594758,241.0480359,1452.704657,liquid
280,30,30000000,199.2149404,244.4715143,1416.761982,liquid
290,30,30000000,202.8272102,248.0469767,1381.577731,liquid
300,30,30000000,206.5840725,251.7626618,1347.163336,liquid
310,30,30000000,210.47153,255.6048609,1313.525837,liquid
320,30,30000000,214.4746005,259.5587303,1280.668481,liquid
330,30,30000000,218.577908,263.6089238,1248.591452,liquid
340,30,30000000,222.7661182,267.7400724,1217.292546,liquid
350,30,30000000,227.0242582,271.9371419,1186.767721,liquid
360,30,30000000,231.3379534,276.1856912,1157.011515,liquid
370,30,30000000,235.6935969,280.4720526,1128.017373,liquid
380,30,30000000,240.0784688,284.7834504,1099.777883,liquid
390,30,30000000,244.4808115,289.1080693,1072.284979,liquid
400,30,30000000,248.8898702,293.4350845,1045.530098,liquid
410,30,30000000,253.2959042,297.7546602,1019.504331,liquid
420,30,30000000,257.6901745,302.0579253,994.198548,liquid
430,30,30000000,262.0649129,306.3369315,969.6035283,liquid
440,30,30000000,266.4132765,310.5845991,945.7100674,liquid
450,30,30000000,270.7292935,314.7946543,922.5090828,liquid
460,30,30000000,275.0078009,318.961563,899.991705,liquid
470,30,30000000,279.2443803,323.0804622,878.1493562,liquid
480,30,30000000,283.4352913,327.1470932,856.9738141,liquid
490,30,30000000,287.5774064,331.1577363,836.4572595,liquid
500,30,30000000,291.6681478,335.1091517,816.5923046,liquid
510,30,30000000,295.7054279,338.9985238,797.3720019,liquid
