Clapeyron Estimator
[method=rhol, species=CCCCCCCC]
T,p,out_rhol
226,10000000,6664.556539
236,10000000,6598.53603
246,10000000,6532.696687
256,10000000,6466.96399
266,10000000,6401.269146
276,10000000,6335.547178
286,10000000,6269.735607
296,10000000,6203.773561
306,10000000,6137.601163
316,10000000,6071.159072
326,10000000,6004.38809
336,10000000,5937.2288
346,10000000,5869.621183
356,10000000,5801.504237
366,10000000,5732.815558
376,10000000,5663.490909
386,10000000,5593.463765
396,10000000,5522.66484
406,10000000,5451.021596
416,10000000,5378.457743
426,10000000,5304.892734
436,10000000,5230.241276
446,10000000,5154.412864
456,10000000,5077.311385
466,10000000,4998.834843
476,10000000,4918.875262
486,10000000,4837.318876
496,10000000,4754.04674
506,10000000,4668.935947
516,10000000,4581.861663
526,10000000,4492.700271
536,10000000,4401.333932
546,10000000,4307.656874
246,30000000,6630.363791
256,30000000,6569.706884
266,30000000,6509.399198
276,30000000,6449.395547
286,30000000,6389.655294
296,30000000,6330.141672
306,30000000,6270.821333
316,30000000,6211.664034
326,30000000,6152.642385
336,30000000,6093.731657
346,30000000,6034.909602
356,30000000,5976.156309
366,30000000,5917.45407
376,30000000,5858.787277
386,30000000,5800.142333
396,30000000,5741.507597
406,30000000,5682.873335
416,30000000,5624.231711
426,30000000,5565.576779
436,30000000,5506.904504
446,30000000,5448.212793
456,30000000,5389.501544
466,30000000,5330.772698
476,30000000,5272.030309
486,30000000,5213.28061
496,30000000,5154.532096
506,30000000,5095.795587
516,30000000,5037.084309
526,30000000,4978.413949
536,30000000,4919.802701
546,30000000,4861.271297
256,50000000,6659.785637
266,50000000,6603.447302
276,50000000,6547.589692
286,50000000,6492.178193
296,50000000,6437.182385
306,50000000,6382.57554
316,50000000,6328.334224
326,50000000,6274.437968
336,50000000,6220.868985
346,50000000,6167.61192
356,50000000,6114.653628
366,50000000,6061.982978
376,50000000,6009.590681
386,50000000,5957.469144
396,50000000,5905.612339
406,50000000,5854.015696
416,50000000,5802.676009
426,50000000,5751.591354
436,50000000,5700.761021
446,50000000,5650.185446
456,50000000,5599.866154
466,50000000,5549.805709
476,50000000,5500.007655
486,50000000,5450.476467
496,50000000,5401.217499
506,50000000,5352.236929
516,50000000,5303.541704
526,50000000,5255.139482
536,50000000,5207.038571
546,50000000,5159.247868
