Clapeyron Estimator
[method=saturation_p, species=CCCCCCCC]
T,out_p
227,7.02E+00
232,1.19E+01
237,1.97E+01
242,3.17E+01
247,4.99E+01
252,7.70E+01
257,1.16E+02
262,1.73E+02
267,251.5559338
272,360.5588547
277,508.7805575
282,707.4451202
287,970.1298627
292,1313.055565
297,1755.376173
302,2319.46273
307,3031.176451
312,3920.126205
317,5019.90612
322,6368.30973
327,8007.517719
332,9984.257147
337,12349.93083
342,15160.71633
347,18477.63476
352,22366.59037
357,26898.38242
362,32148.69149
367,38198.04277
372,45131.74928
377,53039.83824
382,62016.96399
387,72162.31098
392,83579.49045
397,96376.43439
402,110665.2902
407,126562.3196
412,144187.8052
417,163665.9681
422,185124.8991
427,208696.5077
432,234516.4908
437,262724.3256
442,293463.2889
447,326880.5062
452,363127.036
457,402357.9913
462,444732.7047
467,490414.9432
472,539573.1786
477,592380.9226
482,649017.1391
487,709666.7459
492,774521.2262
497,843779.3738
502,917648.2109
507,996344.1298
512,1080094.335
