Clapeyron Estimator
[method=saturation_rhol, species=CCCCCCCC]
T,out_rhol
227,6609.071222
232,6574.647067
237,6540.2232
242,6505.787442
247,6471.327999
252,6436.833356
257,6402.292188
262,6367.69328
267,6333.025458
272,6298.277528
277,6263.43823
282,6228.496189
287,6193.439877
292,6158.257578
297,6122.937355
302,6087.467014
307,6051.834074
312,6016.025734
317,5980.028836
322,5943.829829
327,5907.41473
332,5870.769079
337,5833.877889
342,5796.725598
347,5759.296008
352,5721.572226
357,5683.536584
362,5645.170571
367,5606.454739
372,5567.368609
377,5527.89056
382,5487.997709
387,5447.665773
392,5406.868913
397,5365.579565
402,5323.768231
407,5281.403266
412,5238.450608
417,5194.87349
422,5150.632096
427,5105.683164
432,5059.979532
437,5013.469596
442,4966.096686
447,4917.798318
452,4868.50531
457,4818.140726
462,4766.6186
467,4713.842387
472,4659.703059
477,4604.07676
482,4546.821864
487,4487.775251
492,4426.747537
497,4363.516859
502,4297.820649
507,4229.344523
512,4157.706891
