Clapeyron Estimator,,
[method=u, species=CCCCCCCC],
T,p,out_u
230,10000000,1516.2
240,10000000,1473.7
250,10000000,1431.8
260,10000000,1390.5
270,10000000,1349.8
280,10000000,1309.7
290,10000000,1270.3
300,10000000,1231.6
310,10000000,1193.6
320,10000000,1156.3
330,10000000,1119.6
340,10000000,1083.6
350,10000000,1048.3
360,10000000,1013.7
370,10000000,979.69
380,10000000,946.32
390,10000000,913.57
400,10000000,881.42
410,10000000,849.85
420,10000000,818.87
430,10000000,788.44
440,10000000,758.56
450,10000000,729.22
460,10000000,700.41
470,10000000,672.14
480,10000000,644.39
490,10000000,617.17
500,10000000,590.49
510,10000000,564.38
520,10000000,538.85
530,10000000,513.94
540,10000000,489.71
550,10000000,466.2
560,10000000,443.49
570,10000000,421.65
580,10000000,400.78
590,10000000,380.95
600,10000000,362.25
240,30000000,1564.9
250,30000000,1526.8
260,30000000,1489.4
270,30000000,1452.7
280,30000000,1416.8
290,30000000,1381.6
300,30000000,1347.2
310,30000000,1313.5
320,30000000,1280.7
330,30000000,1248.6
340,30000000,1217.3
350,30000000,1186.8
360,30000000,1157
370,30000000,1128
380,30000000,1099.8
390,30000000,1072.3
400,30000000,1045.5
410,30000000,1019.5
420,30000000,994.2
430,30000000,969.6
440,30000000,945.71
450,30000000,922.51
460,30000000,899.99
470,30000000,878.15
480,30000000,856.97
490,30000000,836.46
500,30000000,816.59
510,30000000,797.37
520,30000000,778.79
530,30000000,760.84
540,30000000,743.52
550,30000000,726.81
560,30000000,710.72
570,30000000,695.25
580,30000000,680.37
590,30000000,666.1
600,30000000,652.41
260,50000000,1575.8
270,50000000,1541.9
280,50000000,1508.8
290,50000000,1476.4
300,50000000,1444.8
310,50000000,1414
320,50000000,1384
330,50000000,1354.8
340,50000000,1326.3
350,50000000,1298.6
360,50000000,1271.7
370,50000000,1245.5
380,50000000,1220.1
390,50000000,1195.4
400,50000000,1171.4
410,50000000,1148.1
420,50000000,1125.6
430,50000000,1103.7
440,50000000,1082.5
450,50000000,1062
460,50000000,1042.1
470,50000000,1022.8
480,50000000,1004.2
490,50000000,986.19
500,50000000,968.75
510,50000000,951.9
520,50000000,935.61
530,50000000,919.87
540,50000000,904.67
550,50000000,890.01
560,50000000,875.85
570,50000000,862.21
580,50000000,849.05
590,50000000,836.37
600,50000000,824.17
