Clapeyron Estimator,,
[method=u, species=CCCCCCCCCCCCCCC],
T,p,out_u
313.15,101300,1270.9
313.15,5000000,1299.7
313.15,10000000,1328.3
313.15,15000000,1354.5
313.15,20000000,1381.1
313.15,25000000,1406
313.15,30000000,1429.9
313.15,35000000,1453.7
313.15,39950000,1475.7
313.15,44950000,1497.7
313.15,49950000,1518.7
313.15,54950000,1539.2
313.15,59900000,1559.3
313.15,64900000,1578.7
313.15,69900000,1597.8
313.15,74850000,1616.5
313.15,79850000,1634.6
313.15,84850000,1652.4
313.15,89800000,1669.5
313.15,94800000,1686.5
313.15,99750000,1703.1
313.15,104750000,1719.5
313.15,109700000,1735.7
313.15,114700000,1751.2
313.15,119700000,1766.4
313.15,124650000,1781.5
313.15,129650000,1796.9
313.15,134600000,1811.1
313.15,139600000,1825.8
313.15,144650000,1840
313.15,149650000,1853.9
333.15,101300,1198.3
333.15,10000000,1260.3
333.15,20000000,1316.8
333.15,30000000,1368.3
333.15,39950000,1416.8
333.15,49950000,1461.8
333.15,59900000,1504.2
333.15,69900000,1543.9
333.15,79850000,1581.7
333.15,89800000,1618.3
333.15,99750000,1653
333.15,109700000,1685.9
333.15,119700000,1718
333.15,129650000,1749.6
333.15,139600000,1778.8
333.15,149650000,1807.6
353.15,101300,1128.6
353.15,10000000,1194.9
353.15,20000000,1255.3
353.15,30000000,1310.4
353.15,39950000,1360.7
353.15,49950000,1407.4
353.15,59900000,1451
353.15,69900000,1493.1
353.15,79850000,1532.2
353.15,89800000,1570.4
353.15,99750000,1605.9
353.15,109700000,1640.6
353.15,119700000,1673.2
353.15,129650000,1704.8
353.15,139600000,1735.7
353.15,149650000,1765.3
373.15,101300,1061.5
373.15,10000000,1133.2
373.15,20000000,1197.2
373.15,30000000,1255.1
373.15,39950000,1308.3
373.15,49950000,1357.7
373.15,59900000,1402.8
373.15,69900000,1446
373.15,79850000,1486.5
373.15,89800000,1525
373.15,99750000,1562
373.15,109700000,1597.1
373.15,119700000,1631
373.15,129650000,1663.4
373.15,139600000,1694.8
373.15,149650000,1725.2
