Clapeyron Estimator
[method=Cp, species=CCCCC]
T,p,out_Cp
150,10000000,141.37
160,10000000,141.17
170,10000000,141.29
180,10000000,141.7
190,10000000,142.4
200,10000000,143.39
210,10000000,144.65
220,10000000,146.16
230,10000000,147.91
240,10000000,149.87
250,10000000,152.03
260,10000000,154.38
270,10000000,156.88
280,10000000,159.53
290,10000000,162.31
300,10000000,165.21
310,10000000,168.22
320,10000000,171.33
330,10000000,174.53
340,10000000,177.81
350,10000000,181.18
360,10000000,184.63
370,10000000,188.16
380,10000000,191.78
390,10000000,195.49
400,10000000,199.3
410,10000000,203.23
420,10000000,207.3
430,10000000,211.52
440,10000000,215.92
450,10000000,220.53
460,10000000,225.37
470,10000000,230.47
480,10000000,235.83
490,10000000,241.39
500,10000000,247.04
510,10000000,252.57
520,10000000,257.66
530,10000000,261.93
540,10000000,265.08
550,10000000,266.97
560,10000000,267.61
570,10000000,267.19
580,10000000,265.96
590,10000000,264.21
600,10000000,262.24
150,30000000,141.18
160,30000000,140.87
170,30000000,140.87
180,30000000,141.17
190,30000000,141.75
200,30000000,142.62
210,30000000,143.74
220,30000000,145.1
230,30000000,146.69
240,30000000,148.48
250,30000000,150.46
260,30000000,152.6
270,30000000,154.88
280,30000000,157.28
290,30000000,159.79
300,30000000,162.39
310,30000000,165.07
320,30000000,167.81
330,30000000,170.61
340,30000000,173.44
350,30000000,176.31
360,30000000,179.2
370,30000000,182.1
380,30000000,185.01
390,30000000,187.93
400,30000000,190.83
410,30000000,193.73
420,30000000,196.61
430,30000000,199.48
440,30000000,202.31
450,30000000,205.12
460,30000000,207.89
470,30000000,210.63
480,30000000,213.33
490,30000000,215.98
500,30000000,218.58
510,30000000,221.13
520,30000000,223.63
530,30000000,226.07
540,30000000,228.44
550,30000000,230.75
560,30000000,233
570,30000000,235.17
580,30000000,237.27
590,30000000,239.3
600,30000000,241.26
150,50000000,141.15
160,50000000,140.76
170,50000000,140.67
180,50000000,140.89
190,50000000,141.39
200,50000000,142.17
210,50000000,143.21
220,50000000,144.48
230,50000000,145.98
240,50000000,147.68
250,50000000,149.56
260,50000000,151.59
270,50000000,153.76
280,50000000,156.05
290,50000000,158.44
300,50000000,160.92
310,50000000,163.47
320,50000000,166.08
330,50000000,168.73
340,50000000,171.42
350,50000000,174.14
360,50000000,176.87
370,50000000,179.62
380,50000000,182.37
390,50000000,185.12
400,50000000,187.86
410,50000000,190.59
420,50000000,193.3
430,50000000,195.99
440,50000000,198.66
450,50000000,201.3
460,50000000,203.91
470,50000000,206.48
480,50000000,209.02
490,50000000,211.52
500,50000000,213.99
510,50000000,216.41
520,50000000,218.79
530,50000000,221.13
540,50000000,223.42
550,50000000,225.67
560,50000000,227.88
570,50000000,230.04
580,50000000,232.16
590,50000000,234.23
600,50000000,236.26
