Clapeyron Estimator,
[method=Cv, species=CCCCC]
T,P,p,out_Cv
150,10,10000000,105.64
160,10,10000000,105.3
170,10,10000000,105.24
180,10,10000000,105.46
190,10,10000000,105.96
200,10,10000000,106.74
210,10,10000000,107.77
220,10,10000000,109.04
230,10,10000000,110.55
240,10,10000000,112.25
250,10,10000000,114.15
260,10,10000000,116.2
270,10,10000000,118.41
280,10,10000000,120.73
290,10,10000000,123.17
300,10,10000000,125.7
310,10,10000000,128.31
320,10,10000000,130.99
330,10,10000000,133.72
340,10,10000000,136.5
350,10,10000000,139.31
360,10,10000000,142.16
370,10,10000000,145.03
380,10,10000000,147.93
390,10,10000000,150.84
400,10,10000000,153.76
410,10,10000000,156.69
420,10,10000000,159.62
430,10,10000000,162.55
440,10,10000000,165.48
450,10,10000000,168.39
460,10,10000000,171.3
470,10,10000000,174.2
480,10,10000000,177.08
490,10,10000000,179.94
500,10,10000000,182.78
510,10,10000000,185.59
520,10,10000000,188.36
530,10,10000000,191.06
540,10,10000000,193.67
550,10,10000000,196.17
560,10,10000000,198.56
570,10,10000000,200.84
580,10,10000000,203
590,10,10000000,205.08
600,10,10000000,207.09
150,30,30000000,106.57
160,30,30000000,106.23
170,30,30000000,106.17
180,30,30000000,106.39
190,30,30000000,106.89
200,30,30000000,107.67
210,30,30000000,108.7
220,30,30000000,109.97
230,30,30000000,111.47
240,30,30000000,113.17
250,30,30000000,115.05
260,30,30000000,117.1
270,30,30000000,119.29
280,30,30000000,121.6
290,30,30000000,124.02
300,30,30000000,126.52
310,30,30000000,129.11
320,30,30000000,131.76
330,30,30000000,134.46
340,30,30000000,137.2
350,30,30000000,139.98
360,30,30000000,142.78
370,30,30000000,145.6
380,30,30000000,148.43
390,30,30000000,151.27
400,30,30000000,154.11
410,30,30000000,156.95
420,30,30000000,159.78
430,30,30000000,162.59
440,30,30000000,165.39
450,30,30000000,168.18
460,30,30000000,170.94
470,30,30000000,173.67
480,30,30000000,176.38
490,30,30000000,179.06
500,30,30000000,181.71
510,30,30000000,184.33
520,30,30000000,186.92
530,30,30000000,189.46
540,30,30000000,191.98
550,30,30000000,194.45
560,30,30000000,196.89
570,30,30000000,199.29
580,30,30000000,201.65
590,30,30000000,203.97
600,30,30000000,206.25
150,50,50000000,107.45
160,50,50000000,107.1
170,50,50000000,107.04
180,50,50000000,107.26
190,50,50000000,107.76
200,50,50000000,108.53
210,50,50000000,109.55
220,50,50000000,110.83
230,50,50000000,112.32
240,50,50000000,114.02
250,50,50000000,115.9
260,50,50000000,117.94
270,50,50000000,120.12
280,50,50000000,122.43
290,50,50000000,124.84
300,50,50000000,127.34
310,50,50000000,129.92
320,50,50000000,132.56
330,50,50000000,135.25
340,50,50000000,137.98
350,50,50000000,140.75
360,50,50000000,143.54
370,50,50000000,146.35
380,50,50000000,149.17
390,50,50000000,151.99
400,50,50000000,154.82
410,50,50000000,157.64
420,50,50000000,160.46
430,50,50000000,163.27
440,50,50000000,166.06
450,50,50000000,168.83
460,50,50000000,171.58
470,50,50000000,174.31
480,50,50000000,177.02
490,50,50000000,179.69
500,50,50000000,182.34
510,50,50000000,184.96
520,50,50000000,187.55
530,50,50000000,190.1
540,50,50000000,192.62
550,50,50000000,195.11
560,50,50000000,197.56
570,50,50000000,199.97
580,50,50000000,202.35
590,50,50000000,204.68
600,50,50000000,206.98
