Clapeyron Estimator
[method=rhol, species=CCCCC]
T,p,out_rhol
150,10000000,10559.99482
160,10000000,10436.96907
170,10000000,10315.38947
180,10000000,10194.92142
190,10000000,10075.27674
200,10000000,9956.202243
210,10000000,9837.470492
220,10000000,9718.87257
230,10000000,9600.212381
240,10000000,9481.302185
250,10000000,9361.959052
260,10000000,9242.00198
270,10000000,9121.249457
280,10000000,8999.517289
290,10000000,8876.616501
300,10000000,8752.351137
310,10000000,8626.515878
320,10000000,8498.893506
330,10000000,8369.252357
340,10000000,8237.343756
350,10000000,8102.899173
360,10000000,7965.626634
370,10000000,7825.20587
380,10000000,7681.281853
390,10000000,7533.456528
400,10000000,7381.278743
410,10000000,7224.232481
420,10000000,7061.723713
430,10000000,6893.06662
440,10000000,6717.470973
450,10000000,6534.034415
460,10000000,6341.747109
470,10000000,6139.522543
480,10000000,5926.27796
490,10000000,5701.099529
500,10000000,5463.532563
510,10000000,5214.013177
520,10000000,4954.37011
530,10000000,4688.173375
540,10000000,4420.613512
550,10000000,4157.771042
150,30000000,10670.51996
160,30000000,10553.63537
170,30000000,10438.61441
180,30000000,10325.16014
190,30000000,10213.02378
200,30000000,10101.99455
210,30000000,9991.891462
220,30000000,9882.556917
230,30000000,9773.851858
240,30000000,9665.652077
250,30000000,9557.8455
260,30000000,9450.330204
270,30000000,9343.012998
280,30000000,9235.80843
290,30000000,9128.638094
300,30000000,9021.430174
310,30000000,8914.119154
320,30000000,8806.645717
330,30000000,8698.956794
340,30000000,8591.005747
350,30000000,8482.75259
360,30000000,8374.164174
370,30000000,8265.214303
380,30000000,8155.883786
390,30000000,8046.160475
400,30000000,7936.039331
410,30000000,7825.522549
420,30000000,7714.619739
430,30000000,7603.34817
440,30000000,7491.733055
450,30000000,7379.807875
460,30000000,7267.614753
470,30000000,7155.204855
480,30000000,7042.63883
490,30000000,6929.987261
500,30000000,6817.331098
510,30000000,6704.762014
520,30000000,6592.382621
530,30000000,6480.306465
540,30000000,6368.657691
550,30000000,6257.570309
150,50000000,10772.34478
160,50000000,10660.48937
170,50000000,10550.76505
180,50000000,10442.89306
190,50000000,10336.64229
200,50000000,10231.81964
210,50000000,10128.26229
220,50000000,10025.83154
230,50000000,9924.408149
240,50000000,9823.888627
250,50000000,9724.182569
260,50000000,9625.210606
270,50000000,9526.902902
280,50000000,9429.198042
290,50000000,9332.042207
300,50000000,9235.388559
310,50000000,9139.196777
320,50000000,9043.432716
330,50000000,8948.068147
340,50000000,8853.080558
350,50000000,8758.452961
360,50000000,8664.173698
370,50000000,8570.236215
380,50000000,8476.638827
390,50000000,8383.384467
400,50000000,8290.480422
410,50000000,8197.938074
420,50000000,8105.772615
430,50000000,8014.002755
440,50000000,7922.650409
450,50000000,7831.740373
460,50000000,7741.29998
470,50000000,7651.358763
480,50000000,7561.948105
490,50000000,7473.100907
500,50000000,7384.851265
510,50000000,7297.234152
520,50000000,7210.285135
530,50000000,7124.040091
540,50000000,7038.534949
550,50000000,6953.805451
