Clapeyron Estimator,
[method=saturation_p, species=CCCCC]
T,out_p
187,5.24E+01
192,8.94E+01
197,148.0433027
202,238.150135
207,373.0715357
212,570.2752874
217,852.1540349
222,1246.838596
227,1789.015466
232,2520.725647
237,3492.12264
242,4762.169405
247,6399.257042
252,8481.731483
257,11098.31854
262,14348.44173
267,18342.43136
272,23201.62699
277,29058.37901
282,36055.9572
287,44348.37682
292,54100.15335
297,65485.99781
302,78690.46426
307,93907.56083
312,111340.3355
317,131200.4483
322,153707.7411
327,179089.8197
332,207581.6586
337,239425.2443
342,274869.2673
347,314168.8762
352,357585.5018
357,405386.7618
362,457846.4535
367,515244.6433
372,577867.8633
377,646009.4256
382,719969.8715
387,800057.5746
392,886589.5252
397,979892.3318
402,1080303.491
407,1188172.99
412,1303865.349
417,1427762.237
422,1560265.892
