Clapeyron Estimator,
[method=saturation_rhol, species=CCCCC]
T,out_rhol
147,10518.875
151,10466.428
155,10414.286
159,10362.448
163,10310.86
167,10259.494
171,10208.336
175,10157.358
179,10106.519
183,10055.804
188,10005.187
192,9954.652
196,9904.173
200,9853.722
204,9803.298
208,9752.861
212,9702.396
216,9651.875
220,9601.299
224,9550.626
228,9499.856
232,9448.961
237,9397.927
241,9346.714
245,9295.334
249,9243.746
253,9191.923
257,9139.863
261,9087.541
265,9034.941
269,8982.023
273,8928.772
277,8875.174
282,8821.189
286,8766.815
290,8711.998
294,8656.723
298,8600.977
302,8544.704
306,8487.905
310,8430.51
314,8372.505
318,8313.848
322,8254.512
327,8194.442
331,8133.596
335,8071.931
339,8009.394
343,7945.928
347,7881.478
351,7815.974
355,7749.348
359,7681.53
363,7612.436
367,7541.971
371,7470.022
376,7396.508
380,7321.274
384,7244.197
388,7165.125
392,7083.876
396,7000.257
400,6914.046
404,6824.966
408,6732.74
412,6636.994
416,6537.325
421,6433.234
425,6324.112
429,6209.239
433,6087.657
437,5958.16
441,5819.156
445,5668.412
449,5502.671
453,5316.763
457,5101.625
461,4838.363
465,4471.274
