Clapeyron Estimator,
[method=saturation_rhov, species=CCCCC]
T,out_rhov
187,0.033675
192,0.056025
197,0.090408
202,0.14185
207,0.21689
212,0.3238
217,0.47285
222,0.67656
227,0.94987
232,1.3104
237,1.7785
242,2.3776
247,3.1339
252,4.077
257,5.2394
262,6.657
267,8.3687
272,10.417
277,12.846
282,15.706
287,19.048
292,22.927
297,27.402
302,32.535
307,38.391
312,45.041
317,52.558
322,61.021
327,70.513
332,81.123
337,92.948
342,106.09
347,120.66
352,136.78
357,154.57
362,174.19
367,195.79
372,219.55
377,245.67
382,274.37
387,305.91
392,340.59
397,378.73
402,420.76
407,467.14
412,518.45
417,575.41
422,638.91
